age_group,gender,id_drug,name_drug,coadmin,inter,patient,patient-inter,patient.coad
25-29,Female,DB00690,Flurazepam,942,44,108,15,92
25-29,Female,DB00549,Zafirlukast,203,0,126,0,62
25-29,Female,DB09070,Tibolone,171,0,46,0,34
25-29,Female,DB01062,Oxybutynin,2244,114,181,5,142
25-29,Female,DB01053,Benzylpenicillin,89,0,51,0,38
25-29,Female,DB01174,Phenobarbital,6507,316,159,33,149
25-29,Female,DB01150,Cefprozil,3,0,2,0,2
25-29,Female,DB01098,Rosuvastatin,651,3,127,1,93
25-29,Female,DB00904,Ondansetron,1178,0,381,0,274
25-29,Female,DB13510,Buflomedil,138,0,63,0,34
25-29,Female,DB00437,Allopurinol,1136,0,225,0,187
25-29,Female,DB00661,Verapamil,533,3,68,3,52
25-29,Female,DB13643,Loprazolam,229,0,67,0,53
25-29,Female,DB00696,Ergotamine,2502,146,1106,110,716
25-29,Female,DB12523,Mizolastine,580,0,251,0,155
25-29,Female,DB00413,Pramipexole,126,0,45,0,28
25-29,Female,DB00205,Pyrimethamine,178,0,28,0,27
25-29,Female,DB00359,Sulfadiazine,147,0,19,0,18
25-29,Female,DB01611,Hydroxychloroquine,15002,366,653,60,569
25-29,Female,DB00050,Cetrorelix,511,0,145,0,142
25-29,Female,DB00778,Roxithromycin,182,0,122,0,78
25-29,Female,DB09085,Tetracaine,1041,0,240,0,162
25-29,Female,DB00998,Frovatriptan,1286,19,267,16,210
25-29,Female,DB00808,Indapamide,839,0,79,0,65
25-29,Female,DB00400,Griseofulvin,48,4,49,2,19
25-29,Female,DB06779,Dalteparin,443,0,262,0,163
25-29,Female,DB01415,Ceftibuten,346,0,198,0,132
25-29,Female,DB01328,Cefonicid,280,0,108,0,87
25-29,Female,DB00252,Phenytoin,1505,458,90,53,82
25-29,Female,DB00234,Reboxetine,1034,0,108,0,101
25-29,Female,DB00758,Clopidogrel,896,0,90,0,71
25-29,Female,DB06470,Clomethiazole,1215,0,134,0,106
25-29,Female,DB01156,Bupropion,3644,7,551,2,413
25-29,Female,DB04552,Niflumic acid,340,0,217,0,151
25-29,Female,DB00806,Pentoxifylline,1279,1,431,1,223
25-29,Female,DB00859,Penicillamine,244,0,12,0,11
25-29,Female,DB13425,Flutrimazole,200,0,160,0,90
25-29,Female,DB01212,Ceftriaxone,244,1,181,1,130
25-29,Female,DB00721,Procaine,28,0,26,0,13
25-29,Female,DB00136,Calcitriol,2895,0,205,0,194
25-29,Female,DB06724,Calcium carbonate,2586,0,727,0,552
25-29,Female,DB00286,Conjugated estrogens,609,10,79,2,61
25-29,Female,DB01165,Ofloxacin,310,0,267,0,147
25-29,Female,DB00706,Tamsulosin,1608,0,399,0,335
25-29,Female,DB09238,Manidipine,677,0,55,0,45
25-29,Female,DB00227,Lovastatin,232,6,53,5,38
25-29,Female,DB12474,Lynestrenol,78,0,96,0,32
25-29,Female,DB00568,Cinnarizine,182,0,125,0,69
25-29,Female,DB00351,Megestrol acetate,332,0,78,0,58
25-29,Female,DB00810,Biperiden,11623,187,467,42,447
25-29,Female,DB06702,Fesoterodine,420,0,116,0,66
25-29,Female,DB06218,Lacosamide,6223,0,178,0,168
25-29,Female,DB09119,Eslicarbazepine acetate,2923,0,129,0,113
25-29,Female,DB05541,Brivaracetam,526,0,33,0,30
25-29,Female,DB00761,Potassium chloride,666,0,201,0,149
25-29,Female,DB00986,Glycopyrronium,239,0,32,0,25
25-29,Female,DB05039,Indacaterol,430,0,65,0,52
25-29,Female,DB01698,Rutin,193,0,187,0,101
25-29,Female,DB01381,Ginkgo biloba,389,3,200,3,125
25-29,Female,DB00540,Nortriptyline,348,56,48,11,40
25-29,Female,DB00389,Carbimazole,562,0,171,0,138
25-29,Female,DB13529,Dobesilic acid,362,0,228,0,137
25-29,Female,DB08813,Nadroparin,38,0,36,0,13
25-29,Female,DB01095,Fluvastatin,902,28,55,4,37
25-29,Female,DB06288,Amisulpride,2308,0,131,0,119
25-29,Female,DB09564,Insulin degludec,1177,0,150,0,127
25-29,Female,DB00867,Ritodrine,140,0,153,0,79
25-29,Female,DB00833,Cefaclor,149,0,100,0,66
25-29,Female,DB06174,Noscapine,108,0,62,0,49
25-29,Female,DB00513,Aminocaproic acid,134,0,90,0,45
25-29,Female,DB06228,Rivaroxaban,402,0,47,0,40
25-29,Female,DB00501,Cimetidine,54,0,24,0,17
25-29,Female,DB00624,Testosterone,362,0,113,0,61
25-29,Female,DB00884,Risedronic acid,1175,0,103,0,79
25-29,Female,DB00518,Albendazole,28,0,34,0,9
25-29,Female,DB00091,Cyclosporine,2336,400,230,108,162
25-29,Female,DB00877,Sirolimus,723,1,19,1,19
25-29,Female,DB00395,Carisoprodol,193,0,112,0,88
25-29,Female,DB00920,Ketotifen,327,0,138,0,108
25-29,Female,DB01036,Tolterodine,1139,3,202,3,120
25-29,Female,DB00897,Triazolam,290,24,26,4,23
25-29,Female,DB00712,Flurbiprofen,125,0,22,0,19
25-29,Female,DB00675,Tamoxifen,512,0,106,0,71
25-29,Female,DB00745,Modafinil,439,10,55,4,38
25-29,Female,DB00014,Goserelin,158,0,28,0,22
25-29,Female,DB00295,Morphine,464,0,51,0,49
25-29,Female,DB00333,Methadone,63,1,9,1,7
25-29,Female,DB00531,Cyclophosphamide,106,0,9,0,8
25-29,Female,DB01100,Pimozide,711,41,45,10,37
25-29,Female,DB01097,Leflunomide,2137,2,136,1,112
25-29,Female,DB13446,Guar gum,161,0,64,0,38
25-29,Female,DB09267,Strontium ranelate,90,0,35,0,28
25-29,Female,DB01118,Amiodarone,435,71,34,15,28
25-29,Female,DB00934,Maprotiline,582,0,59,0,56
25-29,Female,DB01132,Pioglitazone,107,2,27,1,24
25-29,Female,DB04165,Valpromide,884,0,53,0,45
25-29,Female,DB13919,Candesartan,1640,0,122,0,102
25-29,Female,DB01559,Clotiazepam,272,0,47,0,40
25-29,Female,DB01029,Irbesartan,651,1,89,1,74
25-29,Female,DB01216,Finasteride,149,0,33,0,25
25-29,Female,DB01182,Propafenone,82,3,14,3,13
25-29,Female,DB00283,Clemastine,209,0,190,0,89
25-29,Female,DB00658,Sevelamer,199,3,25,3,25
25-29,Female,DB01136,Carvedilol,1792,142,110,35,98
25-29,Female,DB00376,Trihexyphenidyl,497,7,25,1,25
25-29,Female,DB01023,Felodipine,200,0,34,0,23
25-29,Female,DB09068,Vortioxetine,599,0,98,0,82
25-29,Female,DB01195,Flecainide,235,0,49,0,31
25-29,Female,DB00710,Ibandronate,393,1,45,1,39
25-29,Female,DB06700,Desvenlafaxine,1621,0,192,0,164
25-29,Female,DB01024,Mycophenolic acid,12231,0,295,0,280
25-29,Female,DB00973,Ezetimibe,1466,0,128,0,117
25-29,Female,DB00277,Theophylline,643,11,144,10,121
25-29,Female,DB00390,Digoxin,486,197,44,25,41
25-29,Female,DB00085,Pancrelipase,423,0,52,0,34
25-29,Female,DB00850,Perphenazine,1636,0,123,0,113
25-29,Female,DB01075,Diphenhydramine,11,0,10,0,6
25-29,Female,DB00666,Nafarelin,357,0,123,0,103
25-29,Female,DB11994,Diacerein,299,0,159,0,102
25-29,Female,DB09017,Brotizolam,128,0,20,0,16
25-29,Female,DB00881,Quinapril,160,0,12,0,9
25-29,Female,DB00454,Meperidine,78,0,7,0,5
25-29,Female,DB00497,Oxycodone,1441,59,88,15,82
25-29,Female,DB01183,Naloxone,851,0,30,0,30
25-29,Female,DB01120,Gliclazide,826,8,117,6,102
25-29,Female,DB10583,Clostridium tetani toxoid antigen (formaldehyde inactivated),124,0,160,0,69
25-29,Female,DB01608,Periciazine,679,0,22,0,22
25-29,Female,DB00310,Chlorthalidone,284,0,92,0,66
25-29,Female,DB08867,Ulipristal,118,0,65,0,29
25-29,Female,DB00264,Metoprolol,389,30,82,23,71
25-29,Female,DB01394,Colchicine,907,3,129,2,99
25-29,Female,DB00583,Levocarnitine,557,0,53,0,44
25-29,Female,DB13335,Pinazepam,86,0,29,0,22
25-29,Female,DB00966,Telmisartan,653,0,104,0,85
25-29,Female,DB11728,Fondaparinux,39,0,17,0,14
25-29,Female,DB00647,Dextropropoxyphene,98,1,22,1,16
25-29,Female,DB01275,Hydralazine,538,0,94,0,78
25-29,Female,DB00623,Fluphenazine,193,3,15,1,14
25-29,Female,DB01022,Phylloquinone,280,0,67,0,49
25-29,Female,DB01624,Zuclopenthixol,1545,0,51,0,50
25-29,Female,DB00346,Alfuzosin,95,0,14,0,13
25-29,Female,DB01162,Terazosin,25,0,7,0,6
25-29,Female,DB00921,Buprenorphine,430,0,77,0,61
25-29,Female,DB00469,Tenoxicam,62,0,30,0,24
25-29,Female,DB00682,Warfarin,482,128,72,37,58
25-29,Female,DB01085,Pilocarpine,34,0,17,0,11
25-29,Female,DB00593,Ethosuximide,888,0,21,0,19
25-29,Female,DB06148,Mianserin,499,0,89,0,79
25-29,Female,DB00590,Doxazosin,1363,0,95,0,82
25-29,Female,DB00502,Haloperidol,2979,283,221,57,199
25-29,Female,DB09026,Aliskiren,199,0,18,0,17
25-29,Female,DB06207,Silodosin,53,0,17,0,16
25-29,Female,DB00798,Gentamicin,84,3,50,3,39
25-29,Female,DB01166,Cilostazol,27,1,12,1,8
25-29,Female,DB00831,Trifluoperazine,459,0,43,0,41
25-29,Female,DB00876,Eprosartan,87,1,21,1,17
25-29,Female,DB01261,Sitagliptin,765,0,73,0,65
25-29,Female,DB08890,Linaclotide,340,0,46,0,26
25-29,Female,DB01255,Lisdexamfetamine,111,0,20,0,15
25-29,Female,DB01080,Vigabatrin,1032,7,28,1,22
25-29,Female,DB01020,Isosorbide mononitrate,228,0,20,0,15
25-29,Female,DB01544,Flunitrazepam,988,0,70,0,67
25-29,Female,DB09097,Quinagolide,42,0,20,0,11
25-29,Female,DB00553,Methoxsalen,55,0,24,0,17
25-29,Female,DB01344,Tolevamer,237,5,17,2,15
25-29,Female,DB01217,Anastrozole,23,0,13,0,8
25-29,Female,DB14719,Bentazepam,248,0,54,0,40
25-29,Female,DB01082,Streptomycin,3,0,3,0,3
25-29,Female,DB00493,Cefotaxime,4,0,5,0,3
25-29,Female,DB01005,Hydroxyurea,396,0,24,0,23
25-29,Female,DB11783,Imidapril,136,0,19,0,18
25-29,Female,DB00481,Raloxifene,121,11,45,9,37
25-29,Female,DB06201,Rufinamide,595,0,8,0,8
25-29,Female,DB09080,Olodaterol,83,0,9,0,9
25-29,Female,DB01148,Flavoxate,71,0,41,0,31
25-29,Female,DB00222,Glimepiride,185,2,36,1,31
25-29,Female,DB01235,Levodopa,268,0,29,0,23
25-29,Female,DB00290,Bleomycin,4,0,3,0,2
25-29,Female,DB13025,Tiapride,111,0,17,0,15
25-29,Female,DB00542,Benazepril,29,0,6,0,3
25-29,Female,DB01033,Mercaptopurine,603,76,58,10,50
25-29,Female,DB00889,Granisetron,45,0,9,0,7
25-29,Female,DB06285,Teriparatide,91,0,9,0,4
25-29,Female,DB00528,Lercanidipine,543,0,28,0,26
25-29,Female,DB00258,Calcium acetate,308,0,26,0,26
25-29,Female,DB00105,Interferon alfa-2b,21,0,5,0,4
25-29,Female,DB08860,Pitavastatin,88,0,21,0,17
25-29,Female,DB00544,Fluorouracil,10,0,25,0,8
25-29,Female,DB01590,Everolimus,536,0,9,0,9
25-29,Female,DB09236,Lacidipine,2,0,3,0,1
25-29,Female,DB13803,Xipamide,46,0,14,0,11
25-29,Female,DB13588,Naftidrofuryl,22,0,6,0,3
25-29,Female,DB01171,Moclobemide,30,6,7,4,6
25-29,Female,DB00477,Chlorpromazine,763,6,46,4,42
25-29,Female,DB13363,Oxaceprol,2,0,3,0,1
25-29,Female,DB00794,Primidone,280,3,9,1,8
25-29,Female,DB00363,Clozapine,639,89,37,15,34
25-29,Female,DB06144,Sertindole,22,0,4,0,4
25-29,Female,DB06605,Apixaban,8,0,4,0,3
25-29,Female,DB00994,Neomycin,2,0,4,0,2
25-29,Female,DB09210,Piracetam,268,0,41,0,36
25-29,Female,DB00491,Miglitol,24,0,7,0,5
25-29,Female,DB00489,Sotalol,96,2,17,2,15
25-29,Female,DB01348,Spirapril,1,0,1,0,1
25-29,Female,DB04844,Tetrabenazine,192,0,13,0,12
25-29,Female,DB08882,Linagliptin,97,0,4,0,3
25-29,Female,DB04573,Estriol,54,2,41,2,25
25-29,Female,DB00716,Nedocromil,53,0,19,0,12
25-29,Female,DB09167,Dosulepin,3,0,1,0,1
25-29,Female,DB09227,Barnidipine,37,0,9,0,6
25-29,Female,DB00912,Repaglinide,347,7,44,3,39
25-29,Female,DB04855,Dronedarone,27,0,2,0,2
25-29,Female,DB00700,Eplerenone,152,0,21,0,18
25-29,Female,DB06401,Bazedoxifene,8,0,7,0,3
25-29,Female,DB00961,Mepivacaine,23,0,6,0,6
25-29,Female,DB00773,Etoposide,8,0,3,0,3
25-29,Female,DB09110,Coenzyme M,6,0,1,0,1
25-29,Female,DB06655,Liraglutide,210,0,29,0,26
25-29,Female,DB06271,Sulodexide,7,0,3,0,2
25-29,Female,DB13412,Pirisudanol,86,0,37,0,21
25-29,Female,DB00289,Atomoxetine,634,3,49,3,38
25-29,Female,DB09019,Bromhexine,39,0,22,0,17
25-29,Female,DB06292,Dapagliflozin,212,0,19,0,14
25-29,Female,DB08907,Canagliflozin,45,0,8,0,5
25-29,Female,DB00684,Tobramycin,11,0,5,0,4
25-29,Female,DB01436,Alfacalcidol,12,0,4,0,4
25-29,Female,DB06153,Pizotifen,176,0,14,0,7
25-29,Female,DB00595,Oxytetracycline,10,0,7,0,5
25-29,Female,DB00355,Aztreonam,6,0,3,0,2
25-29,Female,DB00284,Acarbose,82,0,25,0,17
25-29,Female,DB00268,Ropinirole,60,0,22,0,15
25-29,Female,DB00770,Alprostadil,1,0,2,0,1
25-29,Female,DB13315,Sobrerol,18,0,8,0,6
25-29,Female,DB01126,Dutasteride,69,0,18,0,16
25-29,Female,DB05829,Parathyroid hormone,1,0,1,0,1
25-29,Female,DB04876,Vildagliptin,261,0,17,0,17
25-29,Female,DB00459,Acitretin,45,4,11,2,6
25-29,Female,DB06230,Nalmefene,199,0,24,0,20
25-29,Female,DB00790,Perindopril,79,0,24,0,17
25-29,Female,DB13587,Mesterolone,3,0,3,0,1
25-29,Female,DB01589,Quazepam,87,0,12,0,9
25-29,Female,DB00094,Urofollitropin,104,0,47,0,36
25-29,Female,DB00044,Lutropin alfa,28,0,10,0,9
25-29,Female,DB01276,Exenatide,59,0,13,0,11
25-29,Female,DB00976,Telithromycin,51,2,31,2,19
25-29,Female,DB00906,Tiagabine,421,0,11,0,10
25-29,Female,DB06691,Mepyramine,48,0,28,0,20
25-29,Female,DB06718,Stanozolol,37,0,5,0,5
25-29,Female,DB01067,Glipizide,19,0,1,0,1
25-29,Female,DB00883,Isosorbide dinitrate,1,0,4,0,1
25-29,Female,DB11604,Tetanus immune globulin,8,0,5,0,5
25-29,Female,DB01142,Doxepin,128,11,19,3,19
25-29,Female,DB00375,Colestipol,38,1,9,1,5
25-29,Female,DB00575,Clonidine,272,29,11,4,11
25-29,Female,DB13732,Meglumine antimoniate,17,0,7,0,3
25-29,Female,DB06791,Lanreotide,0,0,1,0,0
25-29,Female,DB00261,Anagrelide,237,0,11,0,9
25-29,Female,DB00992,Methyl aminolevulinate,2,0,9,0,2
25-29,Female,DB11348,Calcium Phosphate,30,0,11,0,8
25-29,Female,DB06792,Lanthanum carbonate,188,0,15,0,13
25-29,Female,DB01393,Bezafibrate,32,0,13,0,9
25-29,Female,DB00755,Tretinoin,19,0,6,0,4
25-29,Female,DB00990,Exemestane,100,0,17,0,13
25-29,Female,DB00812,Phenylbutazone,45,0,15,0,10
25-29,Female,DB01621,Pipotiazine,51,0,4,0,4
25-29,Female,DB01037,Selegiline,5,0,3,0,2
25-29,Female,DB09038,Empagliflozin,137,0,8,0,8
25-29,Female,DB01054,Nitrendipine,55,0,11,0,11
25-29,Female,DB00699,Nicergoline,11,0,9,0,5
25-29,Female,DB00887,Bumetanide,24,1,6,1,5
25-29,Female,DB10400,Dermatophagoides farinae,16,0,4,0,4
25-29,Female,DB10401,Dermatophagoides pteronyssinus,16,0,4,0,4
25-29,Female,DB01367,Rasagiline,29,1,4,1,4
25-29,Female,DB00589,Lisuride,23,0,13,0,6
25-29,Female,DB01331,Cefoxitin,4,0,5,0,2
25-29,Female,DB06643,Denosumab,43,0,9,0,8
25-29,Female,DB00910,Paricalcitol,284,0,12,0,10
25-29,Female,DB00412,Rosiglitazone,25,0,10,0,9
25-29,Female,DB05271,Rotigotine,88,0,16,0,12
25-29,Female,DB09289,Tianeptine,13,0,7,0,5
25-29,Female,DB00457,Prazosin,16,0,3,0,3
25-29,Female,DB00492,Fosinopril,59,0,8,0,8
25-29,Female,DB05679,Ustekinumab,8,0,3,0,2
25-29,Female,DB01333,Cefradine,9,0,6,0,4
25-29,Female,DB00327,Hydromorphone,23,0,7,0,5
25-29,Female,DB00519,Trandolapril,11,0,3,0,2
25-29,Female,DB00659,Acamprosate,26,0,8,0,8
25-29,Female,DB00490,Buspirone,37,1,8,1,7
25-29,Female,DB04854,Febuxostat,36,0,3,0,2
25-29,Female,DB00126,Ascorbic acid,46,0,4,0,4
25-29,Female,DB01043,Memantine,90,0,3,0,3
25-29,Female,DB09045,Dulaglutide,81,0,3,0,3
25-29,Female,DB04953,Ezogabine,121,0,9,0,9
25-29,Female,DB01128,Bicalutamide,1,0,2,0,1
25-29,Female,DB13169,Nandrolone,14,0,3,0,3
25-29,Female,DB02959,Oxitriptan,35,0,10,0,8
25-29,Female,DB11705,Iomeprol,6,0,3,0,2
25-29,Female,DB00615,Rifabutin,57,6,9,1,8
25-29,Female,DB01609,Deferasirox,199,0,7,0,7
25-29,Female,DB01327,Cefazolin,3,0,2,0,2
25-29,Female,DB01362,Iohexol,2,0,2,0,1
25-29,Female,DB00250,Dapsone,5,0,7,0,4
25-29,Female,DB09242,Moxonidine,39,0,3,0,3
25-29,Female,DB06335,Saxagliptin,1,0,1,0,1
25-29,Female,DB00438,Ceftazidime,3,0,2,0,2
25-29,Female,DB00512,Vancomycin,2,0,2,0,2
25-29,Female,DB09066,Corifollitropin alfa,5,0,2,0,2
25-29,Female,DB00104,Octreotide,258,0,7,0,7
25-29,Female,DB01407,Clenbuterol,5,0,2,0,2
25-29,Female,DB09313,Ioxaglic acid,1,0,1,0,1
25-29,Female,DB09278,Activated charcoal,5,0,1,0,1
25-29,Female,DB01284,Tetracosactide,1,0,2,0,1
25-29,Female,DB00726,Trimipramine,25,2,2,1,2
25-29,Female,DB00674,Galantamine,5,2,3,1,2
25-29,Female,DB00995,Auranofin,1,0,1,0,1
25-29,Female,DB09285,Morniflumate,2,0,2,0,1
25-29,Female,DB00208,Ticlopidine,2,0,2,0,1
25-29,Female,DB09481,Magnesium carbonate,2,0,1,0,1
25-29,Female,DB09049,Naloxegol,2,0,1,0,1
25-29,Female,DB13742,Elcatonin,8,0,4,0,3
25-29,Female,DB09282,Molsidomine,7,0,1,0,1
25-29,Female,DB01064,Isoprenaline,1,0,1,0,1
25-29,Female,DB08816,Ticagrelor,37,0,1,0,1
25-29,Female,DB12278,Propiverine,5,0,3,0,2
25-29,Female,DB00605,Sulindac,20,0,4,0,3
25-29,Female,DB00843,Donepezil,161,26,5,2,5
25-29,Female,DB00523,Alitretinoin,3,0,1,0,1
25-29,Female,DB01246,Alimemazine,3,0,3,0,2
25-29,Female,DB01018,Guanfacine,25,0,2,0,2
25-29,Female,DB12877,Oxatomide,2,0,1,0,1
25-29,Female,DB09076,Umeclidinium,42,0,3,0,3
25-29,Female,DB04846,Celiprolol,1,0,1,0,1
25-29,Female,DB00648,Mitotane,10,0,1,0,1
25-29,Female,DB00551,Acetohydroxamic acid,5,0,6,0,3
25-29,Female,DB00475,Chlordiazepoxide,4,0,2,0,2
25-29,Female,DB00989,Rivastigmine,2,0,1,0,1
25-29,Female,DB00597,Gadoteridol,1,0,2,0,1
25-29,Female,DB13312,Delapril,17,0,2,0,2
25-29,Female,DB11699,Tropisetron,5,0,1,0,1
25-29,Female,DB00882,Clomifene,1,0,1,0,1
25-29,Female,DB01069,Promethazine,0,0,1,0,0
25-29,Female,DB13483,Etamsylate,3,0,1,0,1
25-29,Female,DB01340,Cilazapril,5,0,3,0,3
25-29,Female,DB00401,Nisoldipine,0,0,1,0,0
25-29,Female,DB00095,Efalizumab,2,0,1,0,1
25-29,Female,DB01413,Cefepime,1,0,1,0,1
25-29,Female,DB00280,Disopyramide,1,1,1,1,1
25-29,Female,DB01400,Neostigmine,4,0,1,0,1
25-29,Female,DB09256,Tegafur,12,0,1,0,1
25-29,Female,DB00975,Dipyridamole,35,0,1,0,1
25-29,Female,DB00572,Atropine,2,0,1,0,1
25-29,Female,DB13401,Metildigoxin,3,0,2,0,2
25-29,Female,DB01656,Roflumilast,2,0,1,0,1
25-29,Female,DB06777,Chenodeoxycholic acid,3,0,1,0,1
25-29,Female,DB00855,Aminolevulinic acid,3,0,1,0,1
25-29,Female,DB00731,Nateglinide,7,0,1,0,1
25-29,Female,DB00494,Entacapone,6,0,1,0,1
25-29,Female,DB09357,Dexpanthenol,5,0,1,0,1
25-29,Female,DB09276,Sodium aurothiomalate,9,0,1,0,1
25-29,Male,DB01050,Ibuprofen,282082,1088,159594,748,118399
25-29,Male,DB01060,Amoxicillin,281425,360,165934,346,117536
25-29,Male,DB00586,Diclofenac,67539,73,52523,52,33338
25-29,Male,DB09214,Dexketoprofen,59298,0,36150,0,25828
25-29,Male,DB00472,Fluoxetine,18228,1619,2865,319,2128
25-29,Male,DB00715,Paroxetine,31151,965,6446,253,4913
25-29,Male,DB00196,Fluconazole,3858,175,5179,139,1733
25-29,Male,DB00313,Valproic acid,57068,1692,2666,140,2219
25-29,Male,DB04817,Metamizole,91995,0,44358,0,37088
25-29,Male,DB04841,Flunarizine,1308,0,576,0,395
25-29,Male,DB00316,Acetaminophen,309562,531,141186,261,114901
25-29,Male,DB00207,Azithromycin,37948,28,26884,19,17834
25-29,Male,DB00315,Zolmitriptan,2157,46,820,37,548
25-29,Male,DB00341,Cetirizine,36362,0,23792,0,14892
25-29,Male,DB00635,Prednisone,41168,314,14381,109,11409
25-29,Male,DB00863,Ranitidine,11803,34,5421,19,3184
25-29,Male,DB00764,Mometasone,22049,0,11388,0,8653
25-29,Male,DB09002,Cloperastine,25548,0,15930,0,12570
25-29,Male,DB00417,Phenoxymethylpenicillin,3680,4,3743,4,2303
25-29,Male,DB00788,Naproxen,34351,143,29733,59,16715
25-29,Male,DB00335,Atenolol,4211,168,662,112,487
25-29,Male,DB00425,Zolpidem,9167,0,1695,0,1158
25-29,Male,DB00836,Loperamide,5456,0,3529,0,2307
25-29,Male,DB00244,Mesalazine,6576,1848,1031,202,680
25-29,Male,DB00338,Omeprazole,200703,9887,61608,4244,48696
25-29,Male,DB00186,Lorazepam,34859,64,9403,13,5934
25-29,Male,DB00537,Ciprofloxacin,24443,109,18090,84,11166
25-29,Male,DB00727,Nitroglycerin,1674,0,1058,0,548
25-29,Male,DB00455,Loratadine,33062,0,22955,0,14607
25-29,Male,DB13679,Dexchlorpheniramine,7993,0,7828,0,3925
25-29,Male,DB01001,Salbutamol,84744,215,21515,105,17871
25-29,Male,DB11742,Ebastine,38634,0,22092,0,13840
25-29,Male,DB1332,Tetrazepam,25661,0,16876,0,13516
25-29,Male,DB06151,Acetylcysteine,49114,0,25673,0,20929
25-29,Male,DB01238,Aripiprazole,19288,234,1288,26,1116
25-29,Male,DB00864,Tacrolimus,13423,352,1068,61,521
25-29,Male,DB00193,Tramadol,26709,289,8082,143,7385
25-29,Male,DB11921,Deflazacort,6911,0,3385,0,2654
25-29,Male,DB00857,Terbinafine,1466,7,2341,6,740
25-29,Male,DB00959,Methylprednisolone,4399,55,1573,29,1291
25-29,Male,DB01184,Domperidone,20104,0,15461,0,9018
25-29,Male,DB01211,Clarithromycin,20041,333,10771,279,8642
25-29,Male,DB08810,Cinitapride,5291,0,2803,0,1697
25-29,Male,DB06742,Ambroxol,16768,0,9929,0,7949
25-29,Male,DB00318,Codeine,65990,5,35276,5,31005
25-29,Male,DB01167,Itraconazole,2685,344,4705,281,1392
25-29,Male,DB13872,Lormetazepam,29654,0,4228,0,3142
25-29,Male,DB06145,Spiramycin,4849,0,2599,0,2213
25-29,Male,DB09320,Procaine benzylpenicillin,1073,0,624,0,486
25-29,Male,DB00581,Lactulose,6588,0,1525,0,1041
25-29,Male,DB01233,Metoclopramide,22504,23,18624,22,11619
25-29,Male,DB01418,Acenocoumarol,5559,1251,426,223,352
25-29,Male,DB00451,Levothyroxine,14015,55,2147,14,1421
25-29,Male,DB00612,Bisoprolol,8310,230,740,115,555
25-29,Male,DB00829,Diazepam,81757,4885,27721,2764,20304
25-29,Male,DB00146,Calcifediol,2821,0,864,0,545
25-29,Male,DB00332,Ipratropium,17184,0,4972,0,4405
25-29,Male,DB00577,Valaciclovir,1451,0,1397,0,650
25-29,Male,DB01202,Levetiracetam,25318,1514,1060,109,877
25-29,Male,DB00199,Erythromycin,2520,74,1937,66,1233
25-29,Male,DB04930,Permethrin,2398,0,2648,0,1534
25-29,Male,DB01222,Budesonide,93783,51,31513,42,25856
25-29,Male,DB00213,Pantoprazole,9845,9,2478,9,1896
25-29,Male,DB00482,Celecoxib,1422,6,932,5,519
25-29,Male,DB00370,Mirtazapine,15263,135,1728,11,1404
25-29,Male,DB00152,Thiamine,1322,0,321,0,244
25-29,Male,DB06282,Levocetirizine,4528,0,1945,0,1235
25-29,Male,DB00564,Carbamazepine,19567,6173,889,413,744
25-29,Male,DB11696,Racecadotril,2348,0,2066,0,1169
25-29,Male,DB00086,Streptokinase,4939,0,4016,0,2586
25-29,Male,DB00372,Thiethylperazine,995,0,959,0,512
25-29,Male,DB00440,Trimethoprim,5463,235,1229,111,1180
25-29,Male,DB00828,Fosfomycin,3114,0,2551,0,1266
25-29,Male,DB01015,Sulfamethoxazole,5374,37,1142,17,1142
25-29,Male,DB06698,Betahistine,5441,0,5109,0,2453
25-29,Male,DB08906,Fluticasone furoate,14969,0,6394,0,4751
25-29,Male,DB00787,Acyclovir,2840,1,2711,1,1247
25-29,Male,DB06723,Aluminum hydroxide,12138,0,6428,0,4533
25-29,Male,DB09258,Bemiparin,2405,0,1269,0,917
25-29,Male,DB01131,Proguanil,2475,0,4488,0,1109
25-29,Male,DB01147,Cloxacillin,6461,50,8812,49,3887
25-29,Male,DB00404,Alprazolam,51705,2920,13717,1240,8481
25-29,Male,DB00215,Citalopram,24650,361,5307,138,4076
25-29,Male,DB01175,Escitalopram,28927,321,4020,111,3148
25-29,Male,DB00852,Pseudoephedrine,8730,8,5406,6,4042
25-29,Male,DB13500,Otilonium,3326,0,3281,0,1631
25-29,Male,DB00571,Propranolol,8549,1135,1294,332,877
25-29,Male,DB00763,Methimazole,638,12,207,3,137
25-29,Male,DB04339,Carbocisteine,11874,0,6283,0,5109
25-29,Male,DB00285,Venlafaxine,17506,21,1616,20,1365
25-29,Male,DB00422,Methylphenidate,8522,55,1147,6,755
25-29,Male,DB00337,Pimecrolimus,897,0,1055,0,384
25-29,Male,DB00668,Epinephrine,1577,4,874,4,576
25-29,Male,DB00871,Terbutaline,13348,30,4054,19,3175
25-29,Male,DB09300,Butylscopolamine,9016,0,7633,0,4550
25-29,Male,DB00584,Enalapril,16909,131,2300,31,1647
25-29,Male,DB00945,Acetylsalicylic acid,13392,880,2690,336,2335
25-29,Male,DB06594,Agomelatine,1781,0,220,0,179
25-29,Male,DB00334,Olanzapine,42719,283,3296,49,2763
25-29,Male,DB00555,Lamotrigine,17413,569,653,47,573
25-29,Male,DB01558,Bromazepam,6155,0,1543,0,977
25-29,Male,DB01628,Etoricoxib,2686,0,1029,0,585
