ATC	Name	DrugBankID	ChemicalSubgroups	PharmacologicalSubgroup	TherapeuticSubgroup	Dispensations	WomenDispensations	MenDispensations	NameSource	IDSource
C09AA02	Enalapril	DB00584	ACE inhibitors, plain	Ace inhibitors, plain	Agents acting on the renin-angiotensin system	781754	390820	390934	DrugBank	DrugBank
C09AA03	Lisinopril	DB00722	ACE inhibitors, plain	Ace inhibitors, plain	Agents acting on the renin-angiotensin system	133340	65496	67844	DrugBank	DrugBank
C09AA04	Perindopril	DB00790	ACE inhibitors, plain	Ace inhibitors, plain	Agents acting on the renin-angiotensin system	6676	3187	3489	DrugBank	DrugBank
C09AA05	Ramipril	DB00178	ACE inhibitors, plain	Ace inhibitors, plain	Agents acting on the renin-angiotensin system	125099	55932	69167	DrugBank	DrugBank
C09AA06	Quinapril	DB00881	ACE inhibitors, plain	Ace inhibitors, plain	Agents acting on the renin-angiotensin system	8326	4460	3866	DrugBank	DrugBank
C09AA07	Benazepril	DB00542	ACE inhibitors, plain	Ace inhibitors, plain	Agents acting on the renin-angiotensin system	1148	693	455	DrugBank	DrugBank
C09AA08	Cilazapril	DB01340	ACE inhibitors, plain	Ace inhibitors, plain	Agents acting on the renin-angiotensin system	1824	1066	758	DrugBank	DrugBank
C09AA09	Fosinopril	DB00492	ACE inhibitors, plain	Ace inhibitors, plain	Agents acting on the renin-angiotensin system	4070	2229	1841	DrugBank	DrugBank
C09AA10	Trandolapril	DB00519	ACE inhibitors, plain	Ace inhibitors, plain	Agents acting on the renin-angiotensin system	1178	650	528	DrugBank	DrugBank
C09AA11	Spirapril	DB01348	ACE inhibitors, plain	Ace inhibitors, plain	Agents acting on the renin-angiotensin system	684	391	293	DrugBank	DrugBank
C09AA12	Delapril	DB13312	ACE inhibitors, plain	Ace inhibitors, plain	Agents acting on the renin-angiotensin system	2	0	2	WHOCC	DrugBankWeb
C09AA16	Imidapril	DB11783	ACE inhibitors, plain	Ace inhibitors, plain	Agents acting on the renin-angiotensin system	13912	7239	6673	DrugBank	DrugBank
C09BA01	Captopril and diuretics	DB01197	ACE inhibitors and diuretics	Ace inhibitors, combinations	Agents acting on the renin-angiotensin system	6479	3936	2543	DrugBank-corrected	DrugBank
C09BA02	Enalapril and diuretics	DB00584	ACE inhibitors and diuretics	Ace inhibitors, combinations	Agents acting on the renin-angiotensin system	271539	140906	130633	DrugBank-corrected	DrugBank
C09BA03	Lisinopril and diuretics	DB00722	ACE inhibitors and diuretics	Ace inhibitors, combinations	Agents acting on the renin-angiotensin system	80485	41117	39368	DrugBank-corrected	DrugBank
C09BA04	Perindopril, combinations	DB00790	ACE inhibitors and diuretics	Ace inhibitors, combinations	Agents acting on the renin-angiotensin system	8860	4627	4233	DrugBank-corrected	DrugBank
C09BA05	Ramipril and diuretics	DB00178	ACE inhibitors and diuretics	Ace inhibitors, combinations	Agents acting on the renin-angiotensin system	19123	10005	9118	DrugBank-corrected	DrugBank
C09BA06	Quinapril and diuretics	DB00881	ACE inhibitors and diuretics	Ace inhibitors, combinations	Agents acting on the renin-angiotensin system	3721	2158	1563	DrugBank-corrected	DrugBank
C09BA07	Benazepril and diuretics	DB00542	ACE inhibitors and diuretics	Ace inhibitors, combinations	Agents acting on the renin-angiotensin system	17	10	7	DrugBank-corrected	DrugBank
C09BA08	Cilazapril and diuretics	DB01340	ACE inhibitors and diuretics	Ace inhibitors, combinations	Agents acting on the renin-angiotensin system	1068	636	432	DrugBank-corrected	DrugBank
C09BA09	Fosinopril and diuretics	DB00492	ACE inhibitors and diuretics	Ace inhibitors, combinations	Agents acting on the renin-angiotensin system	2495	1393	1102	DrugBank-corrected	DrugBank
C09BB02	Enalapril and lercanidipine	DB00528	ACE inhibitors and calcium channel blockers	Ace inhibitors, combinations	Agents acting on the renin-angiotensin system	8818	4176	4642	DrugBank-corrected	DrugBank
C09BB02	Enalapril and lercanidipine	DB00584	ACE inhibitors and calcium channel blockers	Ace inhibitors, combinations	Agents acting on the renin-angiotensin system	8818	4176	4642	DrugBank-corrected	DrugBank
C09BB04	Perindopril and amlodipine	DB00381	ACE inhibitors and calcium channel blockers	Ace inhibitors, combinations	Agents acting on the renin-angiotensin system	1890	863	1027	DrugBank-corrected	DrugBank
C09BB04	Perindopril and amlodipine	DB00790	ACE inhibitors and calcium channel blockers	Ace inhibitors, combinations	Agents acting on the renin-angiotensin system	1890	863	1027	DrugBank-corrected	DrugBank
C09BB05	Ramipril and felodipine	DB00178	ACE inhibitors and calcium channel blockers	Ace inhibitors, combinations	Agents acting on the renin-angiotensin system	325	149	176	DrugBank-corrected	DrugBank
C09BB05	Ramipril and felodipine	DB01023	ACE inhibitors and calcium channel blockers	Ace inhibitors, combinations	Agents acting on the renin-angiotensin system	325	149	176	DrugBank-corrected	DrugBank
C09BB06	Enalapril and nitrendipine	DB00584	ACE inhibitors and calcium channel blockers	Ace inhibitors, combinations	Agents acting on the renin-angiotensin system	9304	4706	4598	DrugBank-corrected	DrugBank
C09BB06	Enalapril and nitrendipine	DB01054	ACE inhibitors and calcium channel blockers	Ace inhibitors, combinations	Agents acting on the renin-angiotensin system	9304	4706	4598	DrugBank-corrected	DrugBank
C09BB10	Trandolapril and verapamil	DB00519	ACE inhibitors and calcium channel blockers	Ace inhibitors, combinations	Agents acting on the renin-angiotensin system	5695	3112	2583	DrugBank-corrected	DrugBank
C09BB10	Trandolapril and verapamil	DB00661	ACE inhibitors and calcium channel blockers	Ace inhibitors, combinations	Agents acting on the renin-angiotensin system	5695	3112	2583	DrugBank-corrected	DrugBank
C09BB12	Delapril and manidipine	DB09238	ACE inhibitors and calcium channel blockers	Ace inhibitors, combinations	Agents acting on the renin-angiotensin system	3157	1549	1608	DrugBank-corrected	DrugBank
C09CA01	Losartan	DB00678	Angiotensin II antagonists, plain	Angiotensin ii receptor blockers (arbs), plain	Agents acting on the renin-angiotensin system	223537	126934	96603	DrugBank	DrugBank
C09CA02	Eprosartan	DB00876	Angiotensin II antagonists, plain	Angiotensin ii receptor blockers (arbs), plain	Agents acting on the renin-angiotensin system	16595	9280	7315	DrugBank	DrugBank
C09CA03	Valsartan	DB00177	Angiotensin II antagonists, plain	Angiotensin ii receptor blockers (arbs), plain	Agents acting on the renin-angiotensin system	114378	62341	52037	DrugBank	DrugBank
C09CA04	Irbesartan	DB01029	Angiotensin II antagonists, plain	Angiotensin ii receptor blockers (arbs), plain	Agents acting on the renin-angiotensin system	43232	23234	19998	DrugBank	DrugBank
C09CA06	Candesartan	DB13919	Angiotensin II antagonists, plain	Angiotensin ii receptor blockers (arbs), plain	Agents acting on the renin-angiotensin system	56245	30814	25431	DrugBank	DrugBank
C09CA07	Telmisartan	DB00966	Angiotensin II antagonists, plain	Angiotensin ii receptor blockers (arbs), plain	Agents acting on the renin-angiotensin system	39690	21064	18626	DrugBank	DrugBank
C09CA08	Olmesartan medoxomil	DB00275	Angiotensin II antagonists, plain	Angiotensin ii receptor blockers (arbs), plain	Agents acting on the renin-angiotensin system	62217	32431	29786	DrugBank-corrected	DrugBank
C09DA01	Losartan and diuretics	DB00678	Angiotensin II antagonists and diuretics	Angiotensin ii receptor blockers (arbs), combinations	Agents acting on the renin-angiotensin system	136622	79087	57535	DrugBank-corrected	DrugBank
C09DA02	Eprosartan and diuretics	DB00876	Angiotensin II antagonists and diuretics	Angiotensin ii receptor blockers (arbs), combinations	Agents acting on the renin-angiotensin system	12920	7353	5567	DrugBank-corrected	DrugBank
C09DA03	Valsartan and diuretics	DB00177	Angiotensin II antagonists and diuretics	Angiotensin ii receptor blockers (arbs), combinations	Agents acting on the renin-angiotensin system	97789	55212	42577	DrugBank-corrected	DrugBank
C09DA04	Irbesartan and diuretics	DB01029	Angiotensin II antagonists and diuretics	Angiotensin ii receptor blockers (arbs), combinations	Agents acting on the renin-angiotensin system	35033	19504	15529	DrugBank-corrected	DrugBank
C09DA06	Candesartan and diuretics	DB13919	Angiotensin II antagonists and diuretics	Angiotensin ii receptor blockers (arbs), combinations	Agents acting on the renin-angiotensin system	32846	18775	14071	DrugBank-corrected	DrugBank
C09DA07	Telmisartan and diuretics	DB00966	Angiotensin II antagonists and diuretics	Angiotensin ii receptor blockers (arbs), combinations	Agents acting on the renin-angiotensin system	30326	16694	13632	DrugBank-corrected	DrugBank
C09DA08	Olmesartan medoxomil and diuretics	DB00275	Angiotensin II antagonists and diuretics	Angiotensin ii receptor blockers (arbs), combinations	Agents acting on the renin-angiotensin system	34144	18383	15761	DrugBank-corrected	DrugBank
C09DB01	Vvalsartan and amlodipine	DB00177	Angiotensin II antagonists and calcium channel blockers	Angiotensin ii receptor blockers (arbs), combinations	Agents acting on the renin-angiotensin system	28351	14177	14174	DrugBank-corrected	DrugBank
C09DB01	Vvalsartan and amlodipine	DB00381	Angiotensin II antagonists and calcium channel blockers	Angiotensin ii receptor blockers (arbs), combinations	Agents acting on the renin-angiotensin system	28351	14177	14174	DrugBank-corrected	DrugBank
C09DB02	Olmesartan medoxomil and amlodipine	DB00275	Angiotensin II antagonists and calcium channel blockers	Angiotensin ii receptor blockers (arbs), combinations	Agents acting on the renin-angiotensin system	27739	13355	14384	DrugBank-corrected	DrugBank
C09DB02	Olmesartan medoxomil and amlodipine	DB00381	Angiotensin II antagonists and calcium channel blockers	Angiotensin ii receptor blockers (arbs), combinations	Agents acting on the renin-angiotensin system	27739	13355	14384	DrugBank-corrected	DrugBank
C09DB04	Telmisartan and amlodipine	DB00381	Angiotensin II antagonists and calcium channel blockers	Angiotensin ii receptor blockers (arbs), combinations	Agents acting on the renin-angiotensin system	1995	983	1012	DrugBank-corrected	DrugBank
C09DB04	Telmisartan and amlodipine	DB00966	Angiotensin II antagonists and calcium channel blockers	Angiotensin ii receptor blockers (arbs), combinations	Agents acting on the renin-angiotensin system	1995	983	1012	DrugBank-corrected	DrugBank
C09DX01	Valsartan, amlodipine and hydrochlorothiazide	DB00177	Angiotensin II antagonists, other combinations	Angiotensin ii receptor blockers (arbs), combinations	Agents acting on the renin-angiotensin system	13627	6627	7000	DrugBank-corrected	DrugBank
C09DX01	Valsartan, amlodipine and hydrochlorothiazide	DB00381	Angiotensin II antagonists, other combinations	Angiotensin ii receptor blockers (arbs), combinations	Agents acting on the renin-angiotensin system	13627	6627	7000	DrugBank-corrected	DrugBank
C09DX01	Valsartan, amlodipine and hydrochlorothiazide	DB00999	Angiotensin II antagonists, other combinations	Angiotensin ii receptor blockers (arbs), combinations	Agents acting on the renin-angiotensin system	13627	6627	7000	DrugBank-corrected	DrugBank
C09DX03	Olmesartan medoxomil, amlodipine and hydrochlorothiazide	DB00275	Angiotensin II antagonists, other combinations	Angiotensin ii receptor blockers (arbs), combinations	Agents acting on the renin-angiotensin system	17308	8169	9139	DrugBank-corrected	DrugBank
C09DX03	Olmesartan medoxomil, amlodipine and hydrochlorothiazide	DB00381	Angiotensin II antagonists, other combinations	Angiotensin ii receptor blockers (arbs), combinations	Agents acting on the renin-angiotensin system	17308	8169	9139	DrugBank-corrected	DrugBank
C09DX03	Olmesartan medoxomil, amlodipine and hydrochlorothiazide	DB00999	Angiotensin II antagonists, other combinations	Angiotensin ii receptor blockers (arbs), combinations	Agents acting on the renin-angiotensin system	17308	8169	9139	DrugBank-corrected	DrugBank
C09DX04	Valsartan and sacubitril	DB00177	Angiotensin II antagonists, other combinations	Angiotensin ii receptor blockers (arbs), combinations	Agents acting on the renin-angiotensin system	2921	759	2162	DrugBank-corrected	DrugBank
C09DX04	Valsartan and sacubitril	DB09292	Angiotensin II antagonists, other combinations	Angiotensin ii receptor blockers (arbs), combinations	Agents acting on the renin-angiotensin system	2921	759	2162	DrugBank-corrected	DrugBank
C09XA02	Aliskiren	DB09026	Renin-inhibitors	Other agents acting on the renin-angiotensin system	Agents acting on the renin-angiotensin system	11944	5992	5952	DrugBank	DrugBank
C09XA52	Aliskiren and hydrochlorothiazide	DB00999	Renin-inhibitors	Other agents acting on the renin-angiotensin system	Agents acting on the renin-angiotensin system	2834	1498	1336	DrugBank-corrected	DrugBank
C09XA52	Aliskiren and hydrochlorothiazide	DB09026	Renin-inhibitors	Other agents acting on the renin-angiotensin system	Agents acting on the renin-angiotensin system	2834	1498	1336	DrugBank-corrected	DrugBank
C10AA01	Simvastatin	DB00641	HMG CoA reductase inhibitors	Lipid modifying agents, plain	Lipid modifying agents	891010	473201	417809	DrugBank	DrugBank
C10AA02	Lovastatin	DB00227	HMG CoA reductase inhibitors	Lipid modifying agents, plain	Lipid modifying agents	33291	20233	13058	DrugBank	DrugBank
C10AA03	Pravastatina	DB00175	HMG CoA reductase inhibitors	Lipid modifying agents, plain	Lipid modifying agents	122042	67065	54977	DrugBank	DrugBank
C10AA04	Fluvastatin	DB01095	HMG CoA reductase inhibitors	Lipid modifying agents, plain	Lipid modifying agents	35882	19431	16451	DrugBank	DrugBank
C10AA05	Atorvastatin	DB01076	HMG CoA reductase inhibitors	Lipid modifying agents, plain	Lipid modifying agents	431067	198589	232478	DrugBank	DrugBank
C10AA07	Rosuvastatin	DB01098	HMG CoA reductase inhibitors	Lipid modifying agents, plain	Lipid modifying agents	58472	27517	30955	DrugBank	DrugBank
C10AA08	Pitavastatin	DB08860	HMG CoA reductase inhibitors	Lipid modifying agents, plain	Lipid modifying agents	16932	8493	8439	DrugBank	DrugBank
C10AB02	Bezafibrate	DB01393	Fibrates	Lipid modifying agents, plain	Lipid modifying agents	6038	3124	2914	DrugBank	DrugBank
C10AB04	Gemfibrozil	DB01241	Fibrates	Lipid modifying agents, plain	Lipid modifying agents	107901	37583	70318	DrugBank	DrugBank
C10AB05	Fenofibrate	DB01039	Fibrates	Lipid modifying agents, plain	Lipid modifying agents	82744	31836	50908	DrugBank	DrugBank
C10AB91			Fibrates	Lipid modifying agents, plain	Lipid modifying agents	1	1	0		
C10AC01	Cholestyramine	DB01432	Bile acid sequestrants	Lipid modifying agents, plain	Lipid modifying agents	18792	11370	7422	DrugBank	DrugBank
C10AC02	Colestipol	DB00375	Bile acid sequestrants	Lipid modifying agents, plain	Lipid modifying agents	3005	1691	1314	DrugBank	DrugBank
C10AC03	Colextran		Bile acid sequestrants	Lipid modifying agents, plain	Lipid modifying agents	498	371	127	WHOCC	
C10AC04	Colesevelam	DB00930	Bile acid sequestrants	Lipid modifying agents, plain	Lipid modifying agents	245	166	79	DrugBank	DrugBank
C10AD52	Niacin	DB00627	Nicotinic acid and derivatives	Lipid modifying agents, plain	Lipid modifying agents	1456	440	1016	DrugBank	DrugBank
C10AX06	Omega-3-triglycerides incl. other esters and acids		Other lipid modifying agents	Lipid modifying agents, plain	Lipid modifying agents	32476	14013	18463	WHOCC	
C10AX09	Ezetimibe	DB00973	Other lipid modifying agents	Lipid modifying agents, plain	Lipid modifying agents	60160	27080	33080	DrugBank	DrugBank
C10AX91			Other lipid modifying agents	Lipid modifying agents, plain	Lipid modifying agents	16686	12449	4237		
C10AX95			Other lipid modifying agents	Lipid modifying agents, plain	Lipid modifying agents	1	1	0		
C10BA02	Simvastatin and ezetimibe	DB00641	HMG CoA reductase inhibitors in combination with other lipid modifying agents	Lipid modifying agents, combinations	Lipid modifying agents	7951	3660	4291	DrugBank-corrected	DrugBank
C10BA02	Simvastatin and ezetimibe	DB00973	HMG CoA reductase inhibitors in combination with other lipid modifying agents	Lipid modifying agents, combinations	Lipid modifying agents	7951	3660	4291	DrugBank-corrected	DrugBank
C10BA03	Pravastatin and fenofibrate	DB00175	HMG CoA reductase inhibitors in combination with other lipid modifying agents	Lipid modifying agents, combinations	Lipid modifying agents	8550	3288	5262	DrugBank-corrected	DrugBank
C10BA03	Pravastatin and fenofibrate	DB01039	HMG CoA reductase inhibitors in combination with other lipid modifying agents	Lipid modifying agents, combinations	Lipid modifying agents	8550	3288	5262	DrugBank-corrected	DrugBank
C10BA05	Atorvastatin and ezetimibe	DB00973	HMG CoA reductase inhibitors in combination with other lipid modifying agents	Lipid modifying agents, combinations	Lipid modifying agents	12110	3986	8124	DrugBank-corrected	DrugBank
C10BA05	Atorvastatin and ezetimibe	DB01076	HMG CoA reductase inhibitors in combination with other lipid modifying agents	Lipid modifying agents, combinations	Lipid modifying agents	12110	3986	8124	DrugBank-corrected	DrugBank
C10BA06	Rosuvastatin and ezetimibe	DB00973	HMG CoA reductase inhibitors in combination with other lipid modifying agents	Lipid modifying agents, combinations	Lipid modifying agents	925	321	604	DrugBank-corrected	DrugBank
C10BA06	Rosuvastatin and ezetimibe	DB01098	HMG CoA reductase inhibitors in combination with other lipid modifying agents	Lipid modifying agents, combinations	Lipid modifying agents	925	321	604	DrugBank-corrected	DrugBank
C10BX03	Atorvastatin and amlodipine	DB00381	HMG CoA reductase inhibitors, other combinations	Lipid modifying agents, combinations	Lipid modifying agents	5928	2924	3004	DrugBank-corrected	DrugBank
C10BX03	Atorvastatin and amlodipine	DB01076	HMG CoA reductase inhibitors, other combinations	Lipid modifying agents, combinations	Lipid modifying agents	5928	2924	3004	DrugBank-corrected	DrugBank
C10BX06	Atorvastatin, acetylsalicylic acid and ramipril	DB00178	HMG CoA reductase inhibitors, other combinations	Lipid modifying agents, combinations	Lipid modifying agents	5792	1619	4173	DrugBank-corrected	DrugBank
C10BX06	Atorvastatin, acetylsalicylic acid and ramipril	DB00945	HMG CoA reductase inhibitors, other combinations	Lipid modifying agents, combinations	Lipid modifying agents	5792	1619	4173	DrugBank-corrected	DrugBank
C10BX06	Atorvastatin, acetylsalicylic acid and ramipril	DB01076	HMG CoA reductase inhibitors, other combinations	Lipid modifying agents, combinations	Lipid modifying agents	5792	1619	4173	DrugBank-corrected	DrugBank
D01AA01	Nystatin	DB00646	Antibiotics	Antifungals for topical use	Antifungals for dermatological use	1677	1056	621	DrugBank	DrugBank
D01AC01	Clotrimazole	DB00257	Imidazole and triazole derivatives	Antifungals for topical use	Antifungals for dermatological use	401230	250314	150916	DrugBank	DrugBank
D01AC02	Miconazole	DB01110	Imidazole and triazole derivatives	Antifungals for topical use	Antifungals for dermatological use	247611	134476	113135	DrugBank	DrugBank
D01AC03	Econazole	DB01127	Imidazole and triazole derivatives	Antifungals for topical use	Antifungals for dermatological use	853	432	421	DrugBank	DrugBank
D01AC07	Tioconazole	DB01007	Imidazole and triazole derivatives	Antifungals for topical use	Antifungals for dermatological use	61558	42031	19527	DrugBank	DrugBank
D01AC08	Ketoconazole	DB01026	Imidazole and triazole derivatives	Antifungals for topical use	Antifungals for dermatological use	436860	227505	209355	DrugBank	DrugBank
D01AC10	Bifonazole	DB04794	Imidazole and triazole derivatives	Antifungals for topical use	Antifungals for dermatological use	66163	35888	30275	DrugBank	DrugBank
D01AC11	Oxiconazole	DB00239	Imidazole and triazole derivatives	Antifungals for topical use	Antifungals for dermatological use	6792	3763	3029	DrugBank	DrugBank
D01AC12	Fenticonazole	DB13434	Imidazole and triazole derivatives	Antifungals for topical use	Antifungals for dermatological use	92710	84367	8343	WHOCC	DrugBankWeb
D01AC14	Sertaconazole	DB01153	Imidazole and triazole derivatives	Antifungals for topical use	Antifungals for dermatological use	37091	19140	17951	DrugBank	DrugBank
D01AC16	Flutrimazole	DB13425	Imidazole and triazole derivatives	Antifungals for topical use	Antifungals for dermatological use	97714	51499	46215	WHOCC	DrugBankWeb
D01AC17	Eberconazole	DB13656	Imidazole and triazole derivatives	Antifungals for topical use	Antifungals for dermatological use	8063	4153	3910	WHOCC	DrugBankWeb
D01AC52	Miconazole, combinations	DB01110	Imidazole and triazole derivatives	Antifungals for topical use	Antifungals for dermatological use	105199	71066	34133	DrugBank-corrected	DrugBank
D01AE02	Gentian Violet	DB00406	Other antifungals for topical use	Antifungals for topical use	Antifungals for dermatological use	11	7	4	DrugBank	DrugBank
D01AE14	Ciclopirox	DB01188	Other antifungals for topical use	Antifungals for topical use	Antifungals for dermatological use	491483	288365	203118	DrugBank	DrugBank
D01AE15	Terbinafine	DB00857	Other antifungals for topical use	Antifungals for topical use	Antifungals for dermatological use	102850	53371	49479	DrugBank	DrugBank
D01AE16	Amorolfine	DB09056	Other antifungals for topical use	Antifungals for topical use	Antifungals for dermatological use	201917	135365	66552	DrugBank	DrugBank
D01AE22	Naftifine	DB00735	Other antifungals for topical use	Antifungals for topical use	Antifungals for dermatological use	10268	5381	4887	DrugBank	DrugBank
D01BA01	Griseofulvin	DB00400	Antifungals for systemic use	Antifungals for systemic use	Antifungals for dermatological use	2813	1241	1572	DrugBank	DrugBank
D01BA02	Terbinafine	DB00857	Antifungals for systemic use	Antifungals for systemic use	Antifungals for dermatological use	79903	42299	37604	DrugBank	DrugBank
D03AX06	Becaplermin	DB00102	Other cicatrizants	Cicatrizants	Preparations for treatment of wounds and ulcers	31	5	26	DrugBank	DrugBank
D03AX94			Other cicatrizants	Cicatrizants	Preparations for treatment of wounds and ulcers	1	1	0		
D03AX95			Other cicatrizants	Cicatrizants	Preparations for treatment of wounds and ulcers	1	0	1		
D03BA51			Proteolytic enzymes	Enzymes	Preparations for treatment of wounds and ulcers	1	1	0		
D03BA52	Collagenase clostridium histolyticum	DB00048	Proteolytic enzymes	Enzymes	Preparations for treatment of wounds and ulcers	67331	42087	25244	DrugBank	DrugBank
D05AA91			Tars	Antipsoriatics for topical use	Antipsoriatics	2	1	1		
D05AC01	Anthralin	DB11157	Antracen derivatives	Antipsoriatics for topical use	Antipsoriatics	2	2	0	DrugBank	DrugBank
D05AX02	Calcipotriol	DB02300	Other antipsoriatics for topical use	Antipsoriatics for topical use	Antipsoriatics	29041	13249	15792	DrugBank	DrugBank
D05AX03	Calcitriol	DB00136	Other antipsoriatics for topical use	Antipsoriatics for topical use	Antipsoriatics	2948	1353	1595	DrugBank	DrugBank
D05AX04	Tacalcitol	DB13689	Other antipsoriatics for topical use	Antipsoriatics for topical use	Antipsoriatics	8006	3898	4108	DrugBank	DrugBank
D05AX05	Tazarotene	DB00799	Other antipsoriatics for topical use	Antipsoriatics for topical use	Antipsoriatics	1452	720	732	DrugBank	DrugBank
D05AX52	Calcipotriol, combinations	DB02300	Other antipsoriatics for topical use	Antipsoriatics for topical use	Antipsoriatics	85406	40230	45176	DrugBank-corrected	DrugBank
D05BA02	Methoxsalen	DB00553	Psoralens for systemic use	Antipsoriatics for systemic use	Antipsoriatics	780	412	368	DrugBank	DrugBank
D05BB02	Acitretin	DB00459	Retinoids for treatment of psoriasis	Antipsoriatics for systemic use	Antipsoriatics	3445	1355	2090	DrugBank	DrugBank
D05BX90			Other antipsoriatics for systemic use	Antipsoriatics for systemic use	Antipsoriatics	16	7	9		
D05BX91			Other antipsoriatics for systemic use	Antipsoriatics for systemic use	Antipsoriatics	13802	7842	5960		
D06AA02	Chlortetracycline	DB09093	Tetracycline and derivatives	Antibiotics for topical use	Antibiotics and chemotherapeutics for dermatological use	8033	4542	3491	DrugBank	DrugBank
D06AA03	Oxytetracycline	DB00595	Tetracycline and derivatives	Antibiotics for topical use	Antibiotics and chemotherapeutics for dermatological use	2064	1202	862	DrugBank	DrugBank
D06AX01	Fusidic Acid	DB02703	Other antibiotics for topical use	Antibiotics for topical use	Antibiotics and chemotherapeutics for dermatological use	351833	195453	156380	DrugBank	DrugBank
D06AX04	Neomycin	DB00994	Other antibiotics for topical use	Antibiotics for topical use	Antibiotics and chemotherapeutics for dermatological use	37624	23264	14360	DrugBank	DrugBank
D06AX07	Gentamicin	DB00798	Other antibiotics for topical use	Antibiotics for topical use	Antibiotics and chemotherapeutics for dermatological use	7588	4478	3110	DrugBank	DrugBank
D06AX09	Mupirocin	DB00410	Other antibiotics for topical use	Antibiotics for topical use	Antibiotics and chemotherapeutics for dermatological use	638972	363123	275849	DrugBank	DrugBank
D06AX13	Retapamulin	DB01256	Other antibiotics for topical use	Antibiotics for topical use	Antibiotics and chemotherapeutics for dermatological use	7900	4264	3636	DrugBank	DrugBank
D06AX14	Ozenoxacin	DB12924	Other antibiotics for topical use	Antibiotics for topical use	Antibiotics and chemotherapeutics for dermatological use	54	21	33	WHOCC	DrugBankWeb
D06BA01	Silver sulfadiazine	DB05245	Sulfonamides	Chemotherapeutics for topical use	Antibiotics and chemotherapeutics for dermatological use	113755	77790	35965	DrugBank	DrugBank
D06BA05	Sulfanilamide	DB00259	Sulfonamides	Chemotherapeutics for topical use	Antibiotics and chemotherapeutics for dermatological use	2	0	2	DrugBank	DrugBank
D06BB01	Idoxuridine	DB00249	Antivirals	Chemotherapeutics for topical use	Antibiotics and chemotherapeutics for dermatological use	3222	1991	1231	DrugBank	DrugBank
D06BB02	Tromantadine	DB13288	Antivirals	Chemotherapeutics for topical use	Antibiotics and chemotherapeutics for dermatological use	445	281	164	WHOCC	DrugBankWeb
D06BB03	Aciclovir	DB00787	Antivirals	Chemotherapeutics for topical use	Antibiotics and chemotherapeutics for dermatological use	179371	117270	62101	DrugBank	DrugBank
D06BB04	Podofilox	DB01179	Antivirals	Chemotherapeutics for topical use	Antibiotics and chemotherapeutics for dermatological use	12818	5030	7788	DrugBank	DrugBank
D06BB06	Penciclovir	DB00299	Antivirals	Chemotherapeutics for topical use	Antibiotics and chemotherapeutics for dermatological use	975	697	278	DrugBank	DrugBank
D06BB10	Imiquimod	DB00724	Antivirals	Chemotherapeutics for topical use	Antibiotics and chemotherapeutics for dermatological use	50569	27463	23106	DrugBank	DrugBank
D06BB12	Sinecatechins	DB01266	Antivirals	Chemotherapeutics for topical use	Antibiotics and chemotherapeutics for dermatological use	3435	2059	1376	DrugBank	DrugBank
D06BX01	Metronidazole	DB00916	Other chemotherapeutics	Chemotherapeutics for topical use	Antibiotics and chemotherapeutics for dermatological use	58699	37857	20842	DrugBank	DrugBank
D06BX02	Ingenol Mebutate	DB05013	Other chemotherapeutics	Chemotherapeutics for topical use	Antibiotics and chemotherapeutics for dermatological use	6621	2755	3866	DrugBank	DrugBank
D07AA02	Hydrocortisone	DB00741	Corticosteroids, weak (group I)	Corticosteroids, plain	Corticosteroids, dermatological preparations	134493	82537	51956	DrugBank	DrugBank
D07AB01	Clobetasone	DB13158	Corticosteroids, moderately potent (group II)	Corticosteroids, plain	Corticosteroids, dermatological preparations	24460	14294	10166	DrugBank	DrugBank
D07AB02	Hydrocortisone butyrate	DB00741	Corticosteroids, moderately potent (group II)	Corticosteroids, plain	Corticosteroids, dermatological preparations	90026	55340	34686	DrugBank-corrected	DrugBank
D07AB04	Fluocortin	DB13223	Corticosteroids, moderately potent (group II)	Corticosteroids, plain	Corticosteroids, dermatological preparations	97032	62608	34424	WHOCC	DrugBankWeb
D07AB92			Corticosteroids, moderately potent (group II)	Corticosteroids, plain	Corticosteroids, dermatological preparations	6	5	1		
D07AC01	Betamethasone	DB00443	Corticosteroids, potent (group III)	Corticosteroids, plain	Corticosteroids, dermatological preparations	344417	191526	152891	DrugBank	DrugBank
D07AC02	Fluclorolone	DB13856	Corticosteroids, potent (group III)	Corticosteroids, plain	Corticosteroids, dermatological preparations	2905	1931	974	WHOCC	DrugBankWeb
D07AC03	Desoximetasone	DB00547	Corticosteroids, potent (group III)	Corticosteroids, plain	Corticosteroids, dermatological preparations	3803	2345	1458	DrugBank	DrugBank
D07AC04	Fluocinolone Acetonide	DB00591	Corticosteroids, potent (group III)	Corticosteroids, plain	Corticosteroids, dermatological preparations	87107	53241	33866	DrugBank	DrugBank
D07AC05	Fluocortolone	DB08971	Corticosteroids, potent (group III)	Corticosteroids, plain	Corticosteroids, dermatological preparations	4885	3165	1720	DrugBank	DrugBank
D07AC06	Difluocortolone	DB09095	Corticosteroids, potent (group III)	Corticosteroids, plain	Corticosteroids, dermatological preparations	30	14	16	DrugBank	DrugBank
D07AC08	Fluocinonide	DB01047	Corticosteroids, potent (group III)	Corticosteroids, plain	Corticosteroids, dermatological preparations	1468	885	583	DrugBank	DrugBank
