Gamma.1	Gamma.2	Npats	Duration	Drug.1	Drug.2
0	0.08	   582	1.79+-1.95	Cyclosporine	Ciprofloxacin
0.07	0	   353	10.75+-20.22	Atorvastatin	Bezafibrate
0.01	0.01	   652	3.51+-9.06	Indomethacin	Carvedilol
0.01	0.01	   669	4.16+-6.38	Glyburide	Glucosamine
0.01	0.01	   901	4.73+-8.08	Gliclazide	Glucosamine
0.07	0	   591	3.59+-7.64	Prednisone	Phenobarbital
0	0.02	   713	2.56+-3.97	Sucralfate	Levothyroxine
0	0.03	    82	1.66+-1.47	Acitretin	Methotrexate
0	0.02	    59	9.24+-16.82	Colestipol	Ursodeoxycholic acid
0.01	0.01	  1302	2.55+-4.93	Celecoxib	Acenocoumarol
0.05	0	   969	1.19+-2.17	Simvastatin	Fusidic acid
0	0.01	   977	1.36+-1.11	Erythromycin	Acenocoumarol
0.03	0	  1646	1.76+-3.16	Prednisone	Estradiol
0	0.06	   774	1.73+-1.83	Theophylline	Ciprofloxacin
0	0.06	   640	3.06+-6.16	Phenytoin	Prednisone
0.01	0.01	  1093	1.28+-1.04	Doxycycline	Ethinylestradiol
0	0.03	   220	22.73+-28.26	Cyclosporine	Pravastatin
0.02	0	   207	10.02+-14.53	Olanzapine	Galantamine
0.03	0	    20	30.3+-38.47	Phenytoin	Vigabatrin
0.01	0.01	   144	6.73+-14.32	Carbamazepine	Midazolam
0.03	0	  1131	1.45+-1.61	Metoclopramide	Levodopa
0.01	0.01	   444	3.49+-6.09	Lidocaine	Carvedilol
0.03	0	   551	4.97+-9.88	Paroxetine	Almotriptan
0	0.01	   410	7.08+-13.12	Fluvastatin	Gemfibrozil
0	0.01	   955	1.52+-1.97	Dexamethasone	Acenocoumarol
0.02	0	   225	11.06+-17	Spironolactone	Quinapril
0	0.01	   648	2.71+-3.83	Lidocaine	Atenolol
0	0.1	  1907	2.21+-3.49	Warfarin	Ibuprofen
0.02	0	   355	7.27+-15.54	Venlafaxine	Almotriptan
0	0.03	   223	12.43+-16.72	Metoprolol	Gliclazide
0.01	0.01	  1161	1.45+-1.29	Fluconazole	Clonazepam
0.01	0.01	   132	7.39+-12.37	Verapamil	Lithium
0.01	0.01	    45	3.44+-4.55	Cyclosporine	Sevelamer
0.02	0	   566	4.94+-9.47	Fluoxetine	Sumatriptan
0	0.03	   254	9.27+-14.63	Phenytoin	Mirtazapine
0.01	0	  1570	1.47+-1.13	Atorvastatin	Itraconazole
0	0.01	   274	10.37+-13.39	Warfarin	Fenofibrate
0	0.03	   171	5.74+-5.84	Rosiglitazone	Gemfibrozil
0	0.01	   162	2.31+-4.75	Dihydroergotamine	Sumatriptan
0.05	0	   839	2.24+-2.81	Simvastatin	Rifampicin
0.02	0	   774	4.75+-9.45	Citalopram	Sumatriptan
0.04	0	   207	8.83+-11.78	Atenolol	Glipizide
0.02	0	  2499	1.31+-1.71	Diazepam	Itraconazole
0	0.01	   128	12.27+-19.94	Fluvoxamine	Carbamazepine
0.06	0	   707	4+-7.58	Salbutamol	Rasagiline
0.02	0	   415	4.74+-8.75	Fluoxetine	Almotriptan
0.06	0	   885	2.12+-3.15	Naproxen	Lithium
0	0.21	    36	10.31+-11.76	Disopyramide	Atenolol
0.01	0	   512	3.6+-4.74	Trazodone	Ginkgo biloba
0	0.02	   221	5.89+-10.1	Theophylline	Pentoxifylline
0.01	0	   175	2.15+-4.73	Zolmitriptan	Dihydroergotamine
0.01	0.01	    33	5.94+-12.2	Ziprasidone	Chlorpromazine
0.03	0	   409	10.4+-13.94	Paroxetine	Rasagiline
0.01	0.01	  1044	1.25+-0.72	Ethinylestradiol	Itraconazole
0	0.02	   137	6.66+-7.71	Ranolazine	Amiodarone
0.01	0	   308	8.53+-12.98	Spironolactone	Eprosartan
0	0.03	    36	9+-12.07	Clozapine	Lamotrigine
0	0.01	    57	1.11+-0.45	Gentamicin	Cefonicid
0	0.01	  1144	1.27+-0.85	Erythromycin	Citalopram
0.01	0	    78	1.81+-1.17	Rifampicin	Leflunomide
0	0.41	     9	1.33+-1	Aprepitant	Dexamethasone
0.08	0	   416	1.37+-1.14	Ciprofloxacin	Sevelamer
0.01	0.01	  1259	1.51+-1.75	Fluconazole	Amitriptyline
0	0.02	   150	10.14+-13.77	Metoprolol	Glyburide
0	0.01	   116	3.64+-8.34	Phenytoin	Megestrol acetate
0	0.02	   136	17.11+-24.31	Cyclosporine	Ezetimibe
0.01	0	   673	1.94+-3.38	Terbutaline	Carvedilol
0.04	0	   529	6.31+-10.4	Hydrochlorothiazide	Lithium
0.06	0	  1062	1.96+-2.99	Diclofenac	Warfarin
0	0.01	   263	8.67+-18.41	Verapamil	Carvedilol
0.01	0.01	   227	7.65+-12.28	Methylphenidate	Carbamazepine
0.02	0	   351	3.93+-6.02	Acenocoumarol	Cholestyramine
0.03	0	   281	9.21+-13.4	Sertraline	Propafenone
0	0.01	   899	2.35+-4.56	Indomethacin	Acenocoumarol
0	0.02	   341	3.34+-5.59	Dihydroergotamine	Fluoxetine
0.03	0	   513	5.93+-12.16	Citalopram	Almotriptan
0	0.03	   271	9.48+-14.58	Phenytoin	Fluoxetine
0.03	0	   350	6.44+-10.5	Pregabalin	Pioglitazone
0.01	0	   255	11.27+-17.1	Fenofibrate	Ursodeoxycholic acid
0	0.01	   419	2.85+-4.2	Lidocaine	Propranolol
0	0.01	   868	1.06+-0.29	Phenoxymethylpenicillin	Ethinylestradiol
0.02	0	   200	13.04+-17.36	Duloxetine	Rasagiline
0	0.12	   235	4.48+-8.44	Ticlopidine	Acetylsalicylic acid
0	0.3	    90	8.16+-8.45	Chlorpropamide	Acetylsalicylic acid
0	0.05	   589	4.81+-10.32	Fluvoxamine	Tramadol
0	0.13	   974	2.6+-4.78	Cyclosporine	Ibuprofen
0	0.02	   453	7.12+-9.75	Warfarin	Paroxetine
0.02	0	    14	3.14+-3.7	Cyclosporine	Danazol
0	0.16	   223	8.84+-11.8	Clozapine	Diazepam
0.03	0	   116	8.69+-11.66	Propranolol	Maprotiline
0.01	0.01	   467	6.45+-12.84	Diltiazem	Propranolol
0	0.01	   465	4.49+-8.04	Sumatriptan	Escitalopram
0	0.01	   225	3.32+-6.19	Dihydroergotamine	Propranolol
0	0.01	   108	7.48+-11.44	Theophylline	Verapamil
0.01	0.01	  1164	1.32+-1.47	Fluconazole	Acenocoumarol
0	0.06	   101	6.51+-11.82	Pimozide	Escitalopram
0.01	0.01	   568	2.82+-4.96	Indomethacin	Propranolol
0	0.01	   146	1.71+-3.31	Dihydroergotamine	Rizatriptan
0	0.01	   143	6.2+-8.5	Warfarin	Fluvastatin
0.02	0	   272	9.43+-14.92	Amitriptyline	Rasagiline
0	0.02	  2083	1.23+-0.96	Itraconazole	Budesonide
0.01	0.01	  1111	1.18+-1.39	Metronidazole	Acenocoumarol
0	0.03	   221	2.33+-4.97	Cyclosporine	Fluconazole
0.01	0.01	    66	4.67+-5.88	Phenytoin	Midazolam
0	0.01	   143	9.65+-13.12	Phenytoin	Amiodarone
0	0.03	   153	5.38+-8.18	Eletriptan	Venlafaxine
0	0.02	   197	8.35+-17.31	Phenytoin	Hydrocortisone
0	0.02	  1639	1.25+-0.88	Erythromycin	Diazepam
0	0.04	   233	5.15+-8.31	Eletriptan	Paroxetine
0	0.01	   143	7.98+-11.45	Biperiden	Donepezil
0	0.03	   136	6.49+-7.8	Trospium	Quetiapine
0	0.03	   455	2.32+-3.72	Rifampicin	Atorvastatin
0.02	0	   319	5.55+-9.88	Atenolol	Ergotamine
0.03	0	   287	9.77+-14.69	Paroxetine	Propafenone
0.01	0.01	   162	9.23+-15.71	Lovastatin	Carbamazepine
0.01	0.01	   277	4.01+-7.44	Rosuvastatin	Colchicine
0	0.01	   131	6.18+-9.03	Biperiden	Rivastigmine
0.02	0	   173	4.46+-10.61	Hydrocortisone	Phenobarbital
0	0.01	   744	1.28+-0.83	Erythromycin	Sertraline
0	0.01	    17	5.47+-8.03	Clozapine	Flunitrazepam
0	0.01	   683	1.27+-0.88	Erythromycin	Fluoxetine
0	0.02	    62	10.81+-12.14	Ziprasidone	Donepezil
0.01	0	    77	3.62+-5.6	Eplerenone	Tolevamer
0.01	0	   618	1.21+-0.88	Fluconazole	Haloperidol
0.01	0	   132	7.92+-13.18	Lovastatin	Warfarin
0.02	0	    22	12.05+-16.69	Fluvoxamine	Clozapine
0.01	0	   256	7.82+-12.69	Duloxetine	Flecainide
0.01	0	   280	1.3+-1.12	Moxifloxacin	Warfarin
0	0.03	   429	1.33+-1.27	Theophylline	Clarithromycin
0.02	0	   576	1.27+-0.72	Dextromethorphan	Memantine
0.01	0	   968	1.47+-1.23	Pantoprazole	Itraconazole
0.01	0	    81	3.48+-5.83	Ergotamine	Nadolol
0	0.01	    91	2.09+-2.78	Dihydroergotamine	Almotriptan
0	0.06	   373	1.57+-1.45	Ropinirole	Ciprofloxacin
0	0.03	   125	8.59+-11.31	Sotalol	Gliclazide
0.31	0	   240	7.85+-13.72	Omeprazole	Quazepam
0	0.06	    99	7.47+-11.35	Pimozide	Sertraline
0	0.02	   613	1.21+-0.65	Lovastatin	Clarithromycin
0	0.05	    18	16.61+-24.14	Moclobemide	Clomipramine
0	0.02	   159	1.86+-2.8	Phenytoin	Trimethoprim
0.01	0	   866	1.97+-2.89	Acenocoumarol	Etoricoxib
0	0.02	   253	3.74+-5.57	Dihydroergotamine	Atenolol
0	0.01	    61	9.31+-11.33	Trospium	Donepezil
0.01	0	   275	4.41+-6.05	Digoxin	Methotrexate
0	0.04	   153	1.35+-1.12	Fluorouracil	Acenocoumarol
0	0.11	    99	1.29+-0.79	Tobramycin	Furosemide
0	0.01	   985	1.18+-0.96	Digoxin	Clarithromycin
0.01	0	    65	12.11+-16.94	Warfarin	Phenobarbital
0	0.15	   622	2.83+-4.8	Sotalol	Ibuprofen
0.01	0	  1243	1.18+-0.59	Clarithromycin	Quetiapine
0.03	0	   153	1.37+-1.11	Torasemide	Gentamicin
0	0.01	    56	1.8+-2.26	Eletriptan	Ergotamine
0	0.02	   205	2.39+-3.27	Piroxicam	Alendronic acid
0	0.02	   327	5.32+-9.64	Almotriptan	Sertraline
0	0.05	   213	1.38+-1	Sotalol	Levofloxacin
0	0.01	   175	3.7+-5.95	Verapamil	Colchicine
0	0.05	  1879	1.08+-0.51	Minocycline	Amoxicillin
0	0.01	    40	4.2+-9.53	Trospium	Oxybutynin
0.01	0	  1401	1.37+-1.79	Norfloxacin	Ferrous glycine sulfate
0.03	0	   550	1.79+-1.99	Prednisone	Rifampicin
0.01	0	   236	9.24+-16.17	Gemfibrozil	Ursodeoxycholic acid
0.02	0	   309	12.6+-17.97	Losartan	Lithium
0.01	0	   107	5.3+-10.54	Sumatriptan	Lithium
0.02	0	   363	2.09+-2.64	Bisoprolol	Rifampicin
0.01	0	   104	7.93+-10.02	Donepezil	Oxybutynin
0	0.01	   531	3.82+-5.78	Topiramate	Ethinylestradiol
0	0.06	   412	2.52+-5.97	Cyclosporine	Azithromycin
0.01	0	   288	8.29+-15.29	Diltiazem	Tacrolimus
0	0.01	    68	8.35+-11.58	Imipramine	Carbamazepine
0.01	0	    13	12+-16.1	Sulfasalazine	Mercaptopurine
0	0.06	    35	10.51+-10.71	Prazosin	Propranolol
0	0.02	   235	8.27+-12.7	Fluvoxamine	Acenocoumarol
0.01	0	   208	6.04+-9.2	Diltiazem	Carbamazepine
0.01	0	   456	4.12+-7.26	Hydroxyzine	Donepezil
0.03	0	   243	11.45+-19.29	Citalopram	Metoprolol
0	0.03	   156	4.8+-6.88	Eletriptan	Escitalopram
0	0.01	  1023	1.05+-0.23	Ethinylestradiol	Cloxacillin
0	0.01	   882	1.02+-0.17	Erythromycin	Levofloxacin
0	0.01	   500	1.19+-0.85	Tizanidine	Ethinylestradiol
0	0.05	   129	6.41+-10.4	Colestipol	Levothyroxine
0.01	0	   267	3.94+-5.99	Trimethoprim	Methotrexate
0.01	0	   788	2.19+-4.13	Amitriptyline	Terbutaline
0	0.01	    52	7.04+-7.45	Trospium	Rivastigmine
0.02	0	   237	7.37+-12.87	Valsartan	Lithium
0.01	0	    12	10.25+-19.31	Ziprasidone	Pimozide
0.03	0	   625	1.58+-1.77	Azithromycin	Warfarin
0	0.02	   158	2.04+-3.41	Phenytoin	Methylprednisolone aceponate
0	0.01	   251	7.96+-16.64	Lovastatin	Gemfibrozil
0	0.01	   100	9.36+-12.02	Cyclosporine	Amiodarone
0.01	0	    92	8.98+-15.51	Carbamazepine	Oxybutynin
0.02	0	   141	1.9+-3.03	Methylprednisolone aceponate	Phenobarbital
0	0.15	    64	4.33+-4.27	Rifamycin	Clarithromycin
0	0.03	   144	4.97+-9.21	Atomoxetine	Fluoxetine
0	0	   119	6.1+-11.4	Carbamazepine	Verapamil
0	0.03	   180	9.74+-17.57	Metoprolol	Sertraline
0	0.05	    89	6.94+-9.04	Flutamide	Acenocoumarol
0	0.02	    99	5.05+-8.5	Trospium	Risperidone
0	0.04	    97	3.35+-4.29	Cyclophosphamide	Acenocoumarol
0	0.04	   289	1.38+-1.06	Cyclosporine	Metoclopramide
0	0.01	   238	4.15+-6.26	Methotrexate	Sulfamethoxazole
0.01	0	   133	10.26+-18.79	Diltiazem	Midazolam
0	0.01	    98	5.82+-8.99	Warfarin	Methimazole
0	0.01	   447	3.01+-8.05	Tizanidine	Lisinopril
0	0.05	   348	3.46+-7.09	Metoprolol	Salbutamol
0.01	0	   270	6.52+-9.42	Fluoxetine	Warfarin
0	0.01	   574	2.61+-5.27	Triamcinolone	Acenocoumarol
0	0.05	    72	9.89+-11.64	Clozapine	Fluoxetine
0	0	   613	1.57+-2.78	Lansoprazole	Itraconazole
0.01	0	   193	1.79+-1.36	Fentanyl	Rifampicin
0.11	0	   147	7.46+-11.35	Lorazepam	Clozapine
0	0.01	   348	4.03+-7.17	Repaglinide	Glucosamine
0	0.02	   358	1.49+-1.64	Warfarin	Norfloxacin
0	0	   132	10.58+-11.91	Rivastigmine	Clomipramine
0	0	   561	1.5+-1.39	Clonazepam	Itraconazole
0.01	0	    90	13.82+-21.17	Verapamil	Eplerenone
0.02	0	   379	1.23+-1.21	Atorvastatin	Fusidic acid
0	0.55	    95	14.41+-18.19	Disopyramide	Omeprazole
0	0	    61	7.1+-8.59	Galantamine	Oxybutynin
0.01	0	  1307	1.26+-1.59	Prednisone	Itraconazole
0	0.01	   720	1.18+-0.9	Repaglinide	Clarithromycin
0	0.01	   519	1.72+-3.39	Propranolol	Terbutaline
0.01	0	   774	1.27+-1.22	Clarithromycin	Solifenacin
0	0.01	    83	4.83+-7.44	Cyclosporine	Colchicine
0.02	0	   107	8.96+-21.04	Pravastatin	Bezafibrate
0.01	0	   124	6.02+-9.12	Valproic acid	Nimodipine
0.01	0	   307	6.55+-8.26	Amitriptyline	Rivastigmine
0.01	0	    76	14.5+-16.25	Bupropion	Rasagiline
0.02	0	   291	2.1+-1.78	Losartan	Rifampicin
0.01	0	    30	5.83+-8.89	Fluvoxamine	Nortriptyline
0.01	0	     2	10.5+-7.78	Prazosin	Oxprenolol
0	0.12	    59	1.36+-0.78	Amikacin	Furosemide
0.02	0	   347	6.02+-10.22	Bisoprolol	Ergotamine
0	0	   408	1.17+-1.05	Erythromycin	Methylprednisolone aceponate
0	0.04	   101	5.77+-7.9	Fludrocortisone	Acenocoumarol
0	0.01	    64	17.83+-29.33	Cyclosporine	Fluvastatin
0.02	0	   230	7.95+-10.75	Sertraline	Cilostazol
0	0.02	   168	9.53+-14.01	Leflunomide	Acenocoumarol
0	0.02	   160	7.68+-13.27	Metoprolol	Salmeterol
0.01	0	   420	1.55+-3.33	Fluconazole	Tacrolimus
0.04	0	   116	4.37+-6.39	Folic Acid	Primidone
0	0.02	   135	5.19+-7.86	Eletriptan	Fluoxetine
0	0.05	   313	3.43+-6.28	Imipramine	Salbutamol
0.03	0	   186	6.12+-11.16	Citalopram	Eletriptan
0.02	0	   170	2.18+-3.93	Alendronic acid	Ketoprofen
0	0.02	   200	9.47+-15.7	Testosterone	Acenocoumarol
0	0.02	   618	1.19+-0.91	Sucralfate	Ciprofloxacin
0	0.01	   177	6.25+-7.6	Warfarin	Gemfibrozil
0	0.01	   681	1.23+-0.72	Amiodarone	Clarithromycin
0.02	0	    89	8.22+-15.04	Spironolactone	Fosinopril
0.01	0	    94	3.87+-5.38	Methotrexate	Cholestyramine
0.02	0	   166	8.16+-12.75	Fluoxetine	Propafenone
0.01	0	   305	8.8+-12.63	Amitriptyline	Donepezil
0	0.03	   186	5.11+-9.27	Metoprolol	Formoterol
0	0.01	   192	8.26+-15.92	Lovastatin	Fenofibrate
0	0.02	   145	7.88+-13.58	Metoprolol	Escitalopram
0	0.02	   146	7.79+-14.03	Metoprolol	Fluoxetine
0	0.09	   601	2.03+-3.76	Labetalol	Ibuprofen
0	0.01	     1	1+-NA	Trimipramine	Moclobemide
0.06	0	   100	5.77+-10.09	Citalopram	Selegiline
0	0.03	   182	11.64+-19.29	Metoprolol	Paroxetine
0	0.01	   245	4.08+-5.71	Glimepiride	Glucosamine
0	0.01	    31	10.77+-12.9	Trospium	Galantamine
0.01	0	   114	6.6+-12.17	Propranolol	Propafenone
0	0.05	    69	12.84+-16.06	Clozapine	Sertraline
0	0	   320	1.24+-0.82	Erythromycin	Digoxin
0	0.01	    81	16.37+-22.88	Metoprolol	Repaglinide
0.01	0	    35	12.57+-22.02	Fluvoxamine	Imipramine
0	0.02	    20	11.95+-20.81	Clonidine	Clomipramine
0.01	0	   274	1.74+-3.08	Terbutaline	Clomipramine
0	0	    66	8.09+-12.17	Warfarin	Azathioprine
0.02	0	    77	5.3+-7.59	Venlafaxine	Frovatriptan
0.01	0	   182	4.96+-9.41	Propranolol	Verapamil
0.03	0	   398	1.44+-1.63	Simvastatin	Ketoconazole
0	0.02	   135	6.61+-10.51	Eletriptan	Sertraline
0	0.01	   277	1.14+-0.61	Carbamazepine	Metronidazole
0	0.03	   167	1.07+-0.33	Gentamicin	Cefuroxime
0.02	0	    52	1.02+-0.14	Erythromycin	Lincomycin
0.04	0	   116	5.92+-11.28	Paroxetine	Frovatriptan
0.02	0	   145	6.68+-8.11	Atenolol	Insulin Glulisine
0	0.02	    86	5.05+-9.64	Chlorpromazine	Propranolol
0	0.01	   175	6.63+-13.56	Fluvoxamine	Amitriptyline
0.01	0	   720	1.47+-1.87	Ranitidine	Itraconazole
0.01	0	   321	2.26+-5.62	Ramipril	Tizanidine
0	0.01	    52	7.31+-9.89	Phenytoin	Warfarin
0	0.02	    84	5.95+-7.95	Trospium	Tiotropium
0	0.02	   174	1.39+-1.47	Ofloxacin	Acenocoumarol
0	0.02	    65	7.06+-8.79	Sotalol	Glyburide
0	0.01	   340	1.1+-0.35	Methotrexate	Cloxacillin
0.01	0	    73	5.38+-5.71	Rivastigmine	Oxybutynin
0	0.03	    90	4.17+-6.22	Frovatriptan	Escitalopram
0.01	0	    73	12.71+-18.65	Clomipramine	Rasagiline
0	0	   141	4.97+-11.43	Lovastatin	Colchicine
0.03	0	   477	1.66+-1.95	Diazepam	Rifampicin
0	0	   117	11.55+-16.67	Donepezil	Clomipramine
0	0.01	    78	13.5+-18.82	Cyclosporine	Repaglinide
0.03	0	    82	3.85+-6.74	Alendronic acid	Flurbiprofen
0	0	   461	1.34+-0.95	Trazodone	Itraconazole
0.01	0	   128	3.4+-5.32	Digoxin	Cholestyramine
0	0.01	    90	5.14+-9.36	Nabumetone	Methotrexate
0	0.01	   406	1.16+-0.77	Sucralfate	Levofloxacin
0	0.01	   382	2.27+-3.59	Meloxicam	Acenocoumarol
0.03	0	    34	2.47+-2.8	Spironolactone	Benazepril
0	0	   115	3.06+-6.61	Sucralfate	Ibandronate
0.05	0	   174	2.3+-3.04	Prednisone	Primidone
0	0.04	    65	6.66+-10.18	Selegiline	Escitalopram
0	0	    60	4.17+-6.21	Galantamine	Biperiden
0	0.01	    94	2.87+-4.9	Phenobarbital	Dexamethasone
0.01	0	   120	11.81+-18.24	Venlafaxine	Propafenone
0.01	0	   265	1.37+-1.16	Fluconazole	Carbamazepine
0.05	0	    19	8.21+-7.35	Glyburide	Oxprenolol
0.01	0	    81	6.75+-9.5	Propranolol	Glipizide
0.02	0	   304	1.4+-1.35	Alprazolam	Ketoconazole
0.01	0	   306	1.34+-0.98	Ethinylestradiol	Minocycline
0	0.01	    16	19.88+-29.27	Ticlopidine	Phenytoin
0.01	0	     7	26.86+-35.9	Metoprolol	Prazosin
0.01	0	   142	7.46+-13.27	Propranolol	Hydralazine
0	0.01	    38	8.05+-15.34	Nortriptyline	Carbamazepine
0	0.01	   422	1.79+-1.83	Terbinafine	Acenocoumarol
0	0.15	     5	3.8+-5.22	Procainamide	Amiodarone
0	0	    41	6.1+-8.86	Phenytoin	Theophylline
0.03	0	   536	1.36+-1.2	Diclofenac	Rifampicin
0	0.01	    26	13.42+-15.13	Ziprasidone	Galantamine
0.01	0	    98	5.18+-7.52	Duloxetine	Propafenone
0.02	0	   216	3.24+-5.46	Hydroxyzine	Galantamine
0	0.01	    76	14.76+-23.68	Cyclosporine	Diltiazem
0	0.01	   197	2.03+-2.13	Rifampicin	Acenocoumarol
0.01	0	    28	1.5+-1.29	Ergotamine	Frovatriptan
0	0.02	   240	3.36+-4.47	Dihydroergotamine	Bisoprolol
0	0.03	    83	4.11+-6.05	Tenoxicam	Alendronic acid
0	0.03	   163	1.34+-0.91	Chlorpromazine	Levofloxacin
0	0	     2	1+-0	Amikacin	Bumetanide
0	0.01	    42	2.9+-2.95	Chlorpromazine	Rivastigmine
0	0.02	   227	1.3+-0.91	Phenytoin	Clarithromycin
0.02	0	   132	1.18+-0.52	Metronidazole	Phenobarbital
0.06	0	    31	9.35+-12.65	Atenolol	Prazosin
0.01	0	    54	2.83+-5.56	Megestrol acetate	Phenobarbital
0.01	0	   159	9.14+-12.67	Fluoxetine	Rasagiline
0.01	0	   117	3.04+-5.67	Atenolol	Piroxicam
0	0.01	    29	3.69+-5.64	Chlorpromazine	Galantamine
0.01	0	   163	1.34+-0.83	Erythromycin	Lovastatin
0	0	   128	5.38+-8.88	Fluvastatin	Colchicine
0	0.01	    43	2.81+-3.86	Chlorpromazine	Donepezil
0	0	    58	10.21+-17.62	Verapamil	Midazolam
0	0.03	   146	2.75+-4.5	Trospium	Ipratropium
0.03	0	   311	2.86+-4.23	Salbutamol	Nadolol
0	0.01	   283	2.87+-4.46	Ibandronate	Ferrous glycine sulfate
0	0.01	   364	1.14+-0.49	Carbamazepine	Clarithromycin
0	0	    81	5.42+-12.02	Lamotrigine	Norethisterone
0.01	0	    91	6.09+-8.35	Glyburide	Nadolol
0	0	    77	6.43+-6.01	Glycopyrronium	Rivastigmine
0	0.01	    27	6.67+-7.66	Trihexyphenidyl	Rivastigmine
0	0.01	    20	6.9+-12.38	Clozapine	Carbamazepine
0	0	   340	1.05+-0.57	Erythromycin	Moxifloxacin
0.01	0	   134	9.99+-12.87	Ramipril	Lithium
0	0.03	   114	3.54+-7.73	Sotalol	Formoterol
0	0	    25	7.24+-9.12	Cyclosporine	Phenobarbital
0.01	0	   245	1.44+-1.26	Fluconazole	Lovastatin
0	0	   405	1.49+-1.49	Esomeprazole	Itraconazole
0.04	0	    49	8.37+-13.26	Fluoxetine	Doxepin
0.01	0	   297	1.6+-1.82	Fluconazole	Tolterodine
0	0	    62	4.52+-8.49	Theophylline	Carbamazepine
0	0	   364	1.3+-0.81	Risperidone	Itraconazole
0.01	0	   269	1.71+-1.44	Bisoprolol	Epinephrine
0	0.02	   117	7.25+-11.62	Cyclosporine	Fluoxetine
0.01	0	   138	1.91+-3.05	Indomethacin	Warfarin
0	0	   490	1.47+-1.35	Itraconazole	Acenocoumarol
0	0	   458	2.05+-4.18	Doxycycline	Acenocoumarol
0.04	0	    70	5.34+-6.68	Paroxetine	Selegiline
0.01	0	   273	3.39+-5.68	Hydroxyzine	Rivastigmine
0.01	0	   156	1.24+-0.94	Metronidazole	Lithium
0	0.01	   146	3.25+-7.03	Warfarin	Hydrocortisone
0	0.02	    87	4.6+-6.67	Trospium	Amitriptyline
0.01	0	    43	15.49+-20.71	Verapamil	Phenobarbital
0.01	0	   302	1.19+-0.83	Atorvastatin	Josamycin
0.01	0	    14	3.71+-4.94	Ergotamine	Naratriptan
0	0	    32	6.78+-11.35	Theophylline	Phenobarbital
0	0	   310	1.23+-0.61	Erythromycin	Quetiapine
0.01	0	   134	1.39+-1.01	Erythromycin	Verapamil
0.01	0	   106	6.75+-9.7	Digoxin	Hydroxychloroquine
0.1	0	    17	5.12+-5.27	Fluoxetine	Trimipramine
0.02	0	    73	5.47+-9.85	Fluoxetine	Frovatriptan
0	0.01	    40	21.93+-30.31	Cyclosporine	Verapamil
0.05	0	    66	9.8+-13.6	Citalopram	Clozapine
0.01	0	   143	7.71+-9.63	Lisinopril	Lithium
0.07	0	    20	5.85+-7.73	Atenolol	Chlorpropamide
0	0.01	    79	4.14+-9.01	Metoprolol	Indomethacin
0	0	   332	1.53+-1.55	Rabeprazole	Itraconazole
0.01	0	   190	1.27+-1.6	Pseudoephedrine	Clomipramine
0	0	    50	5.58+-8.38	Warfarin	Cholestyramine
0	0.01	    46	9.59+-14.4	Sotalol	Repaglinide
0	0	    61	8.41+-11.23	Galantamine	Clomipramine
0.04	0	    69	8.99+-14.55	Citalopram	Pimozide
0	0	   510	1.16+-0.64	Moxifloxacin	Ferrous glycine sulfate
0.01	0	   599	1.65+-1.81	Ciprofloxacin	Tizanidine
0	0.03	    65	6.06+-10.73	Colestipol	Acenocoumarol
0	0	    77	5.06+-8.84	Carbamazepine	Bupropion
0.04	0	    62	7.92+-13.82	Paroxetine	Pimozide
0	0	   460	1.02+-0.22	Doxycycline	Cloxacillin
0.01	0	   121	1.66+-1.48	Doxycycline	Rifampicin
0.01	0	    21	14.24+-15.36	Galantamine	Maprotiline
0	0.02	    39	6.46+-11.57	Miglitol	Glucosamine
0.01	0	    15	18.6+-23.35	Phenytoin	Fludrocortisone
0	0	   432	1.28+-1.34	Amitriptyline	Pseudoephedrine
0	0.01	    54	10.13+-14.26	Cyclosporine	Rosuvastatin
0.01	0	   124	2.19+-3.16	Celecoxib	Lithium
0.01	0	    22	5+-7.76	Warfarin	Primidone
0	0	    36	2.17+-3.06	Dihydroergotamine	Nadolol
0	0.04	   163	3.44+-6.68	Nortriptyline	Salbutamol
0.03	0	    31	8.45+-15	Venlafaxine	Naratriptan
0.01	0	    80	10.54+-16.31	Irbesartan	Lithium
0	0	   255	1.62+-1.53	Itraconazole	Solifenacin
0	0.01	    46	3.46+-5.34	Trospium	Haloperidol
0.06	0	    64	2.97+-3.75	Metformin	Cimetidine
0	0	   191	1.2+-0.55	Erythromycin	Repaglinide
0.06	0	    25	1.6+-1.38	Fluconazole	Rifamycin
0.01	0	   103	6.46+-8.84	Gliclazide	Nadolol
0.02	0	   109	3.6+-5.04	Pregabalin	Rosiglitazone
0	0	   216	1.28+-1.08	Tacrolimus	Itraconazole
0	0.01	    58	8.48+-16.12	Metoprolol	Diltiazem
0.01	0	   144	4.99+-8.52	Allopurinol	Azathioprine
0.03	0	    27	4.15+-6.41	Mirtazapine	Clonidine
0	0	    29	6.86+-10.7	Fluvoxamine	Phenytoin
0	0	   105	4.06+-8.89	Lovastatin	Tacrolimus
0	0	    13	9.62+-16.76	Fludrocortisone	Phenobarbital
0.01	0	    47	14.96+-25.58	Nifedipine	Phenobarbital
0	0	    62	10.35+-16.82	Carbamazepine	Warfarin
0	0.02	    79	1.08+-0.42	Ampicillin	Acenocoumarol
0	0.01	    73	3.48+-7.1	Cyclosporine	Indomethacin
0	0.01	   259	1.27+-1.29	Tacrolimus	Metronidazole
0.01	0	    73	7.47+-10.96	Telmisartan	Lithium
