Rankp	Strength	Npats	Co-disp. length	Drug.1	Drug.2	RRi.fem	Severity
(773,7)	0.3	    31	8.26+-13.05	Pyridostigmine	Fludrocortisone	0.59	Moderate
(109,436)	0.11	    47	1.17+-0.38	Ketoconazole	Quetiapine	1.64	Major
(143,46)	0.11	    60	1.82+-2.88	Fluconazole	Imipramine	3.36	Moderate
(129,53)	0.38	  1609	22.31+-28.9	Valproic acid	Carbamazepine	0.69	Moderate
(1032,640)	0.2	    46	3.46+-5.34	Trospium	Haloperidol	1.74	Moderate
(858,12)	0.16	    28	7.18+-12.66	Eprosartan	Lithium	1.24	Moderate
(112,1)	0.27	     2	1+-0	Fluconazole	Chlordiazepoxide	0.93	None
(547,52)	0.14	  2524	4.01+-6.94	Methotrexate	Diclofenac	1.52	Major
(141,66)	0.22	   281	9.21+-13.4	Sertraline	Propafenone	2.8	Moderate
(1143,15)	0.74	     2	10.5+-7.78	Prazosin	Oxprenolol	Inf	None
(1577,20)	0.15	    14	2.36+-1.78	Fludrocortisone	Rifampicin	0.7	Moderate
(136,1280)	0.02	     2	1+-0	Cyclosporine	Sulfadiazine	Inf	Major
(328,197)	0.22	   932	10.29+-17.27	Carbamazepine	Sertraline	1.47	Moderate
(633,188)	0.14	   115	2.68+-2.55	Enalapril	Drospirenone	34.7	Moderate
(1691,27)	0.2	    20	2.3+-2.32	Theophylline	Lithium	0.76	Moderate
(255,1)	0.23	  4105	7.77+-12.89	Citalopram	Propranolol	2.41	Moderate
(1050,25)	0.23	  4369	8.74+-12.36	Indomethacin	Methotrexate	1.46	Major
(261,1109)	0.44	   429	1.33+-1.27	Theophylline	Clarithromycin	0.97	Moderate
(99,7)	0.08	   444	3.49+-6.09	Lidocaine	Carvedilol	1.27	Moderate
(104,47)	0.11	    10	5.7+-9.18	Triamcinolone	Primidone	1.39	Moderate
(551,4)	0.61	     2	1.5+-0.71	Propranolol	Isoprenaline	0.93	Moderate
(950,3)	0.21	   131	6.18+-9.03	Biperiden	Rivastigmine	1.46	Moderate
(554,10)	0.26	  6013	8.89+-12.39	Spironolactone	Losartan	1.19	Major
(175,158)	0.33	  1776	1.44+-2.07	Fluconazole	Fentanyl	1.03	Major
(273,444)	0.09	  7401	4.12+-8.17	Simvastatin	Colchicine	0.23	Major
(204,16)	0.59	    52	1.02+-0.14	Erythromycin	Lincomycin	1.08	Moderate
(156,21)	0.04	   969	1.19+-2.17	Simvastatin	Fusidic acid	1	None
(1082,20)	0.18	   103	6.09+-8.16	Fluoxetine	Cilostazol	0.57	Moderate
(811,6)	0.12	 10049	1.24+-0.88	Alprazolam	Clarithromycin	2.8	Moderate
(318,371)	0.29	    20	11.95+-20.81	Clonidine	Clomipramine	0.31	Major
(154,143)	0.02	     1	1+-NA	Tolmetin	Methotrexate	Inf	Major
(527,64)	0.28	    30	10.87+-18.16	Prazosin	Bisoprolol	0.62	Moderate
(139,227)	0.32	     2	6+-1.41	Carbamazepine	Danazol	0	Moderate
(366,544)	0.29	    21	4.05+-6.14	Colestipol	Hydrocortisone	1.24	Moderate
(403,444)	0.08	   269	1.71+-1.44	Bisoprolol	Epinephrine	0.96	Moderate
(470,168)	0.1	 29717	3.06+-5.33	Atenolol	Ibuprofen	1.22	Moderate
(1476,1)	0.18	    10	2+-1.89	Amitriptyline	Cimetidine	3.72	Moderate
(898,591)	0.02	     1	1+-NA	Warfarin	Mercaptopurine	0	Moderate
(289,2)	0.17	   350	6.44+-10.5	Pregabalin	Pioglitazone	1.16	Moderate
(159,17)	0.23	  1893	10.31+-14.07	Propafenone	Acenocoumarol	1.42	None
(496,1)	0.11	     7	3.71+-3.99	Rivastigmine	Pimozide	0.7	Moderate
(157,128)	0.24	  1930	8.56+-9.53	Trazodone	Galantamine	1.43	Moderate
(300,12)	0.26	  1368	9.6+-14.43	Lorazepam	Phenytoin	0.91	Moderate
(344,48)	0.27	  1401	1.37+-1.79	Norfloxacin	Ferrous glycine sulfate	3.95	None
(933,12)	0.22	   624	2.62+-4.23	Spironolactone	Tolevamer	0.62	Moderate
(715,145)	0.07	  1180	1.81+-2.26	Diclofenac	Lithium	1.23	Moderate
(195,115)	0.07	  1111	1.18+-1.39	Metronidazole	Acenocoumarol	0.8	None
(98,2)	0.36	   288	16.16+-21.22	Lovastatin	Verapamil	1.69	Major
(205,49)	0.11	   348	3.46+-7.09	Metoprolol	Salbutamol	1.02	Moderate
(211,9)	0.08	     4	1+-0	Erythromycin	Pimozide	0.93	Major
(258,1093)	0.11	    23	5.87+-10.75	Mefenamic acid	Acenocoumarol	0.71	None
(116,95)	0.15	   292	1.53+-1.33	Ethinylestradiol	Etoricoxib	270.47	None
(824,121)	1	     1	1+-NA	Ampicillin	Minocycline	0	Moderate
(329,9)	0.17	    13	5.62+-8.16	Citalopram	Moclobemide	1.08	None
(475,5258)	0.69	    57	1+-0	Moxifloxacin	Josamycin	3.15	None
(152,460)	0.12	    59	3.54+-4.84	Dihydroergotamine	Carvedilol	1.96	Moderate
(185,78)	0.07	   134	1.39+-1.01	Erythromycin	Verapamil	2.53	Major
(338,206)	0.34	    21	14.24+-15.36	Galantamine	Maprotiline	2.32	Moderate
(111,70)	0.16	    26	7.15+-18.72	Atomoxetine	Haloperidol	0.22	Major
(100,32)	0.35	   949	23.82+-30.46	Lamotrigine	Carbamazepine	1.02	Moderate
(167,458)	0.1	    23	4.13+-5.66	Fluvoxamine	Almotriptan	3.35	Major
(1435,311)	0.05	    68	1.51+-2.16	Triamcinolone	Phenobarbital	1.05	Moderate
(1563,1)	0.06	     2	1+-0	Furosemide	Streptomycin	0	Major
(238,31)	0.19	    12	1.08+-0.29	Doxycycline	Acitretin	0.46	Major
(218,20)	0.18	    39	6.46+-11.57	Miglitol	Glucosamine	1.08	None
(191,79)	0.15	   270	1.34+-0.86	Fentanyl	Itraconazole	1.99	Major
(135,58)	0.05	 20838	1.2+-0.71	Simvastatin	Clarithromycin	1.35	Major
(103,7)	0.15	    11	12.09+-12.82	Phenytoin	Medroxyprogesterone acetate	Inf	Moderate
(762,146)	0.45	   195	1.03+-0.17	Dextromethorphan	Terbinafine	1.55	Major
(395,9)	0.14	    16	6.5+-14.27	Quinapril	Lithium	0.93	Moderate
(247,27)	0.54	    11	1+-0	Gentamicin	Ceftriaxone	4.18	Moderate
(610,5)	0.31	  1621	12.01+-14.75	Mirtazapine	Donepezil	2.96	Moderate
(530,21)	0.2	  4708	9.45+-14.41	Bisoprolol	Insulin Aspart	0.73	Moderate
(1510,182)	1	     1	1+-NA	Doxycycline	Aztreonam	0	None
(1099,10)	0.11	   643	4.01+-6.48	Levothyroxine	Cholestyramine	4.87	Moderate
(215,55)	0.14	     4	1.5+-0.58	Phenytoin	Sirolimus	0.93	Major
(164,81)	0.06	   174	1.39+-1.47	Ofloxacin	Acenocoumarol	0.5	None
(121,160)	0.14	   145	2.51+-2.08	Isoniazid	Acenocoumarol	0.45	None
(1376,1)	0.11	     8	1+-0	Clemastine	Galantamine	6.51	Moderate
(123,186)	0.2	   187	1.12+-0.5	Clarithromycin	Colchicine	0.58	Major
(399,348)	0.49	    13	1+-0	Oxytetracycline	Amoxicillin	1.49	Moderate
(285,150)	0.2	     2	1+-0	Methadone	Naltrexone	0.93	Major
(476,1)	0.2	   223	8.84+-11.8	Clozapine	Diazepam	0.44	Major
(394,1394)	0.1	   412	2.52+-5.97	Cyclosporine	Azithromycin	0.75	Moderate
(131,5)	0.22	  5932	9.33+-12.64	Paroxetine	Acenocoumarol	1.76	None
(254,180)	0.31	   585	11.37+-18.88	Fenofibrate	Fluvastatin	0.4	Major
(374,223)	0.11	   707	4+-7.58	Salbutamol	Rasagiline	0.6	Moderate
(423,9)	0.19	   208	7.83+-12.88	Primidone	Acenocoumarol	0.5	None
(705,145)	0.1	    64	2.97+-3.75	Metformin	Cimetidine	0.64	Moderate
(401,19)	0.22	  5054	11.42+-14.39	Atenolol	Gliclazide	0.78	None
(173,16)	0.51	     2	1+-0	Triazolam	Josamycin	0.93	None
(1225,8)	0.03	     3	1.33+-0.58	Phenytoin	Triazolam	1.86	Moderate
(1049,3)	0.14	  6306	3.14+-6.71	Amitriptyline	Salbutamol	2.79	Moderate
(467,774)	0.44	    14	2.07+-2.7	Dihydroergotamine	Frovatriptan	1.67	Major
(795,62)	0.1	  1394	3.28+-6.79	Metoprolol	Ibuprofen	1.19	Moderate
(487,62)	0.26	  4020	1.25+-0.9	Ciprofloxacin	Ferrous glycine sulfate	1.41	Moderate
(130,108)	0.32	   779	12.42+-20.1	Fluvoxamine	Olanzapine	0.56	Moderate
(198,38)	0.18	    73	5.47+-9.85	Fluoxetine	Frovatriptan	6.61	Major
(1259,13)	0.19	    23	4.78+-8.96	Amitriptyline	Clonidine	1.74	Major
(852,221)	0.17	    58	6.34+-10.01	Estradiol	Phenobarbital	6.77	Moderate
(1730,12)	0.23	    20	7.95+-10.5	Fluvoxamine	Oxycodone	0.76	Moderate
(486,22)	0.31	    90	13.82+-21.17	Verapamil	Eplerenone	0.54	Moderate
(138,6)	0.46	   216	1.28+-1.08	Tacrolimus	Itraconazole	0.88	Major
(1022,13)	0.28	   745	19.7+-26.47	Cyclosporine	Atorvastatin	0.51	Major
(441,151)	0.09	    11	1.18+-0.4	Galantamine	Cyclobenzaprine	4.18	Moderate
(1010,32)	0.21	  3872	8.51+-15.82	Diltiazem	Amlodipine	0.79	Moderate
(940,25)	0.23	    24	1.38+-1.06	Estradiol	Prednisolone	21.38	Moderate
(298,6)	0.11	    51	2.49+-4.05	Imipramine	Terbutaline	1.86	Moderate
(140,429)	0.3	   188	17.88+-24.47	Cyclosporine	Nifedipine	0.47	Moderate
(390,14)	0.21	   186	6.12+-11.16	Citalopram	Eletriptan	7.71	Major
(1430,20)	0.21	    20	10.5+-20.14	Carbamazepine	Felodipine	1.39	Moderate
(351,36)	0.23	    52	7.04+-7.45	Trospium	Rivastigmine	0.86	Moderate
(436,9)	0.26	   367	15.05+-21.31	Phenobarbital	Acenocoumarol	0.86	None
(699,1)	0.55	    48	1+-0	Doxycycline	Phenoxymethylpenicillin	0.86	Moderate
(419,74)	0.16	    88	3.14+-4.75	Bumetanide	Ibuprofen	2.97	Moderate
(1278,1)	0.11	  4315	1.21+-0.72	Dextromethorphan	Paroxetine	3.66	Major
(356,2)	0.35	   220	22.73+-28.26	Cyclosporine	Pravastatin	0.37	Major
(245,7)	0.2	   453	7.12+-9.75	Warfarin	Paroxetine	2.04	Moderate
(407,8)	0.14	    16	1.75+-2.24	Imipramine	Terbinafine	2.79	Moderate
(251,10)	0.13	    47	1.21+-0.59	Fluphenazine	Levofloxacin	0.44	Moderate
(174,6)	0.39	     4	7.25+-7.8	Cyclosporine	Propafenone	0	Minor
(363,254)	0.29	   221	2.33+-4.97	Cyclosporine	Fluconazole	0.61	Moderate
(1086,29)	0.11	    24	4.38+-6.04	Warfarin	Leflunomide	1.86	Moderate
(937,1)	0.14	     8	3.88+-7.74	Sertraline	Moclobemide	6.51	None
(214,144)	0.08	  1318	1.95+-4.08	Atenolol	Terbutaline	1.15	Moderate
(158,26)	0.2	   685	4.4+-9.41	Haloperidol	Propranolol	1.25	Moderate
(902,63)	0.07	    35	1.34+-0.91	Griseofulvin	Acetylsalicylic acid	1.39	Minor
(1515,6)	0.57	   340	1.05+-0.57	Erythromycin	Moxifloxacin	1.84	Major
(128,3)	0.05	     4	1+-0	Phenylephrine	Clomipramine	2.79	Major
(837,3)	0.19	   829	6.95+-10.5	Repaglinide	Gemfibrozil	0.45	Major
(241,53)	0.29	  2198	13.96+-19.2	Verapamil	Atorvastatin	0.91	Moderate
(203,1)	0.19	    12	5.08+-9.16	Digoxin	Prazosin	0.66	None
(828,464)	0.04	    10	2.3+-2.06	Griseofulvin	Acenocoumarol	0	None
(1184,23)	0.25	  1031	12.98+-15.77	Ranolazine	Simvastatin	0.44	Major
(165,5)	0.15	   116	4.37+-6.39	Folic Acid	Primidone	0.66	Moderate
(992,9005)	0.18	    22	2+-3.61	Primidone	Metronidazole	0.93	Moderate
(118,2424)	0.1	     1	2+-NA	Nimodipine	Cimetidine	Inf	Moderate
(1161,98427)	0.07	   105	4.06+-8.89	Lovastatin	Tacrolimus	1.02	Moderate
(197,30)	0.22	    44	1.77+-1.52	Celecoxib	Rifampicin	1.22	Moderate
(1552,87)	0.21	    56	4.09+-5.86	Fluvastatin	Cholestyramine	0.75	Moderate
(549,175)	0.16	    17	1.06+-0.24	Torasemide	Tobramycin	1.33	Major
(286,253)	0.24	    51	6.71+-13.22	Pyridostigmine	Methylprednisolone aceponate	1.86	Moderate
(353,341)	0.3	    52	7.31+-9.89	Phenytoin	Warfarin	0.93	Moderate
(182,225)	0.15	    14	12+-13.91	Medroxyprogesterone acetate	Phenobarbital	Inf	Moderate
(146,240)	0.21	   117	7.25+-11.62	Cyclosporine	Fluoxetine	1.66	Moderate
(613,162)	0.33	    21	5.38+-9.8	Metoprolol	Ergotamine	5.58	Moderate
(593,124)	0.07	  3465	1.3+-0.94	Moxifloxacin	Acenocoumarol	0.72	None
(1540,3)	0.22	  1228	7.49+-9.76	Digoxin	Telmisartan	1.4	Moderate
(765,91)	0.26	   132	7.39+-12.37	Verapamil	Lithium	0.23	Moderate
(1025,146)	0.27	    18	16.61+-24.14	Moclobemide	Clomipramine	1.46	None
(1110,14)	0.23	 11797	11.57+-14.18	Bisoprolol	Gliclazide	0.65	None
(560,22)	0.36	   618	1.19+-0.91	Sucralfate	Ciprofloxacin	1.05	Moderate
(561,7)	0.18	  1138	4.68+-6.84	Digoxin	Rabeprazole	1.57	Moderate
(266,59)	0.15	    57	2.46+-3.42	Alprazolam	Cimetidine	1.11	Moderate
(427,53)	0.26	   544	9.94+-13.85	Phenytoin	Quetiapine	0.73	Major
(170,36)	0.19	   332	1.53+-1.55	Rabeprazole	Itraconazole	1.83	Moderate
(1207,155)	0.26	   468	10.93+-15.8	Azathioprine	Acenocoumarol	1.01	None
(921,5)	0.26	   588	3.25+-5.63	Cyclosporine	Sulfamethoxazole	0.45	Major
(400,1)	0.12	    16	2+-1.86	Cyclosporine	Terbinafine	0.93	Minor
(853,9)	0.89	    22	1.05+-0.21	Methylergometrine	Nitroglycerin	0.77	Moderate
(239,4537)	0.1	   115	1.85+-2.4	Doxycycline	Carbamazepine	0.69	Moderate
(209,4364)	0.17	     4	1.75+-1.5	Labetalol	Epinephrine	Inf	Major
(416,10)	0.45	    22	1.05+-0.21	Rifampicin	Itraconazole	0.64	Major
(263,1257)	0.03	     4	1.75+-0.96	Ergotamine	Isosorbide dinitrate	0.93	Moderate
(764,23)	0.26	  6134	9.65+-12.51	Digoxin	Carvedilol	0.8	Moderate
(1293,2)	0.26	   693	11.17+-13.4	Donepezil	Solifenacin	0.93	Moderate
(422,140)	0.49	    27	1.04+-0.19	Erythromycin	Rifampicin	0.74	Moderate
(1438,128)	0.16	    73	2.26+-4.46	Tizanidine	Captopril	1.78	Major
(277,305)	0.09	   190	1.27+-1.6	Pseudoephedrine	Clomipramine	1.75	None
(231,432)	0.22	   730	10.49+-15.62	Carbamazepine	Acenocoumarol	0.85	None
(210,788)	0.29	    18	12.22+-22.14	Clonidine	Carvedilol	0.36	Major
(698,307)	0.14	    44	7.45+-13.07	Carbamazepine	Norethisterone	19.52	Major
(1402,6306)	0.19	    13	9.62+-16.76	Fludrocortisone	Phenobarbital	2.09	Moderate
(246,52)	0.16	    56	3.93+-5.08	Methotrexate	Phenylbutazone	0.7	Major
(888,98)	0.07	     1	6+-NA	Imipramine	Clonidine	Inf	Major
(1398,2)	0.11	     6	1.33+-0.52	Rifampicin	Glipizide	1.86	Moderate
(839,14)	0.13	    23	1.7+-1.43	Glimepiride	Rifampicin	0.26	Moderate
(434,272)	0.62	    14	1+-0	Tacrolimus	Ketoconazole	1.24	Major
(386,1)	0.15	   304	1.4+-1.35	Alprazolam	Ketoconazole	1.95	Major
(447,1362)	0.13	    15	7.4+-12.57	Cyclosporine	Glimepiride	1.06	Moderate
(160,1699)	0.09	   373	1.57+-1.45	Ropinirole	Ciprofloxacin	0.81	Moderate
(369,24)	0.13	    26	4.85+-8.86	Cyclosporine	Carbamazepine	0.93	Major
(264,4369)	0.32	    10	13.9+-14.22	Metoprolol	Primidone	0.93	Moderate
(315,568)	0.29	   581	11.39+-14.26	Escitalopram	Rasagiline	1.05	Major
(923,10)	0.1	  2386	3.59+-8.42	Indomethacin	Losartan	0.8	Moderate
(265,2446)	0.07	   673	1.94+-3.38	Terbutaline	Carvedilol	0.75	Major
(1127,1900)	0.05	     6	1.67+-0.52	Cyclosporine	Piroxicam	0.19	Moderate
(335,2386)	0.13	  1646	1.76+-3.16	Prednisone	Estradiol	75.57	Moderate
(1323,138)	0.2	     5	1.6+-0.89	Chlorpropamide	Glucosamine	3.72	None
(421,2885)	0.24	    41	1.78+-1.24	Disulfiram	Isoniazid	0.19	Moderate
(472,5)	0.08	     2	1+-0	Phenytoin	Sulfadiazine	0	Moderate
(466,652)	0.09	    92	1.22+-0.57	Fluconazole	Warfarin	1.38	Major
(1319,62)	0.08	   213	1.38+-1	Sotalol	Levofloxacin	0.73	Major
(367,70)	0.12	     2	1.5+-0.71	Methadone	Primidone	0.93	Major
(194,899)	0.22	  1618	7.83+-10.39	Methotrexate	Hydroxychloroquine	3.81	Minor
(332,64)	0.19	     3	2.33+-2.31	Cimetidine	Clomipramine	0.46	Moderate
(404,5034)	0.12	     5	1.4+-0.89	Metoprolol	Epinephrine	3.72	Moderate
(997,2)	0.24	   119	1.26+-0.89	Fluconazole	Ergotamine	5.58	Moderate
(1021,5)	0.13	   136	1.14+-0.47	Fluoxetine	Josamycin	3.15	None
(1041,2)	0.11	   985	1.18+-0.96	Digoxin	Clarithromycin	1.34	Major
(844,2)	0.29	     5	3.2+-4.92	Phenylbutazone	Gliclazide	1.39	None
(186,5)	0.13	    79	4.14+-9.01	Metoprolol	Indomethacin	0.51	Moderate
(458,207)	0.43	   248	2.44+-5	Prednisone	Ketoconazole	0.5	Moderate
(881,444)	0.34	    20	5.8+-8.77	Atenolol	Clonidine	0.5	Major
(1199,431)	0.19	    18	9.17+-13.08	Colestipol	Warfarin	0.74	Minor
(957,648)	0.2	    62	7.92+-13.82	Paroxetine	Pimozide	1.29	Major
(806,1243)	0.18	   854	1.41+-1.03	Levofloxacin	Methotrimeprazine	0.87	Moderate
(187,29)	0.21	     4	15.5+-17.99	Phenytoin	Clozapine	0.93	Moderate
(911,31)	0.15	    77	5.3+-7.59	Venlafaxine	Frovatriptan	9.29	Major
(622,117)	0.32	   426	2.74+-7.78	Zolmitriptan	Ergotamine	2.99	Major
(716,20)	0.21	   588	8.7+-12.89	Propranolol	Repaglinide	0.9	Moderate
(689,476)	0.12	   317	1.22+-0.94	Alprazolam	Josamycin	3.4	None
(426,104)	0.19	   256	7.82+-12.69	Duloxetine	Flecainide	2.62	Moderate
(230,20)	0.26	   242	9.09+-13.04	Clozapine	Clonazepam	0.47	Moderate
(522,319)	0.24	    86	5.05+-9.64	Chlorpromazine	Propranolol	1.07	Moderate
(856,1318)	0.12	     2	1+-0	Acitretin	Norethisterone	Inf	None
(304,1876)	0.25	   223	12.43+-16.72	Metoprolol	Gliclazide	0.72	None
(747,2776)	0.25	   221	5.89+-10.1	Theophylline	Pentoxifylline	0.35	Moderate
(162,3359)	0.21	     2	1+-0	Ethinylestradiol	Pioglitazone	Inf	Minor
(517,7671)	0.18	   774	4.75+-9.45	Citalopram	Sumatriptan	4.78	Major
(673,3150)	0.09	   103	1.54+-1.14	Alfuzosin	Itraconazole	0.02	Major
(948,29717)	0.03	     1	1+-NA	Rifamycin	Clomipramine	0	None
(308,207)	0.15	   415	4.74+-8.75	Fluoxetine	Almotriptan	7.28	Major
(180,5054)	0.1	   123	2.94+-5.71	Cyclosporine	Norfloxacin	1.45	Moderate
(1567,1307)	0.18	   971	8.73+-12.89	Enalapril	Lithium	1	Moderate
(169,837)	0.25	   171	5.74+-5.84	Rosiglitazone	Gemfibrozil	0.33	Moderate
(581,145)	0.41	    14	29.86+-40.94	Amitriptyline	Moclobemide	3.41	None
(320,95)	0.07	    53	1.25+-0.81	Simvastatin	Telithromycin	0.56	Major
(188,167507)	0.08	    62	2.1+-5.05	Cyclobenzaprine	Rasagiline	1.06	Major
(216,52)	0.5	     1	1+-NA	Warfarin	Prednisolone	0	Moderate
(1613,18918)	0.48	    64	4.33+-4.27	Rifamycin	Clarithromycin	0.72	Moderate
(1028,5246)	0.19	  1307	9.37+-14.65	Atenolol	Insulin Aspart	0.85	Moderate
(252,3603)	0.21	   309	12.6+-17.97	Losartan	Lithium	1	Moderate
(193,2363)	0.06	    30	2.2+-4.72	Tacrolimus	Felodipine	0.81	Moderate
(746,253473)	0.28	    99	7.47+-11.35	Pimozide	Sertraline	0.77	Major
(428,612)	0.3	   813	12.81+-19.6	Fluvoxamine	Clomipramine	0.89	Major
(287,1489)	0.15	   966	6.25+-12.29	Bisoprolol	Verapamil	1.04	Major
(1007,47811)	0.1	   652	3.51+-9.06	Indomethacin	Carvedilol	0.48	Moderate
(256,6107)	0.14	   197	2.03+-2.13	Rifampicin	Acenocoumarol	0.69	None
(1444,14846)	0.11	   455	2.32+-3.72	Rifampicin	Atorvastatin	0.39	Major
(236,9528)	0.18	     9	4.89+-5.28	Sulindac	Furosemide	7.44	Moderate
(1764,240)	0.17	  1130	5.32+-10.11	Zolmitriptan	Paroxetine	6.03	Major
(1410,3872)	0.15	    17	2.47+-1.66	Rifampicin	Fluvastatin	0.29	Moderate
(1360,7)	0.29	    12	10.25+-19.31	Ziprasidone	Pimozide	0.93	Major
(306,208)	0.31	   866	6.38+-10.73	Spironolactone	Captopril	1.07	Major
(326,467)	1	     1	1+-NA	Metoprolol	Telithromycin	0	Moderate
(776,12317)	0.04	    79	1.08+-0.42	Ampicillin	Acenocoumarol	0.54	None
(259,133)	0.13	    10	2.8+-1.32	Cyclosporine	Sulfasalazine	0.4	Major
(1272,288)	0.22	    71	3.96+-7.21	Raloxifene	Estradiol	65.06	Moderate
(916,9)	0.1	   589	1.5+-2.14	Spironolactone	Eplerenone	0.24	Major
(507,16)	0.15	    10	2+-2.16	Ziprasidone	Amiodarone	0.93	Major
(361,86)	0.48	    14	1+-0	Tobramycin	Cefuroxime	0.37	Moderate
(184,8863)	0.18	     1	3+-NA	Conjugated estrogens	Raloxifene	Inf	Moderate
(293,2341)	0.31	     9	2+-3	Amitriptyline	Phenylephrine	1.86	Major
(612,286)	0.22	    99	5.05+-8.5	Trospium	Risperidone	1.21	Moderate
(323,10)	0.26	   510	1.16+-0.64	Moxifloxacin	Ferrous glycine sulfate	1.28	Moderate
(227,103)	0.15	    39	4.92+-10.18	Paroxetine	Naratriptan	8.13	Major
(189,1)	0.35	     5	1.2+-0.45	Midazolam	Ketoconazole	Inf	Major
(468,19)	0.33	     4	1.5+-1	Cyclosporine	Ketoconazole	0.31	Major
(582,54)	0.26	    16	4.94+-6.94	Metoprolol	Hydralazine	0.31	Minor
(731,65)	0.25	    15	1.73+-1.33	Midazolam	Rifampicin	1.06	Minor
(1579,72)	0.09	  1302	2.55+-4.93	Celecoxib	Acenocoumarol	1.13	None
(1707,101)	0.16	   154	2.69+-5.57	Trospium	Solifenacin	1.27	Moderate
(272,42)	0.31	  1010	9.78+-12.48	Pyridostigmine	Prednisone	0.79	Moderate
(179,36)	0.19	     2	6.5+-3.54	Warfarin	Ketoconazole	Inf	Moderate
(1379,20)	0.14	   135	5.19+-7.86	Eletriptan	Fluoxetine	19.98	Major
(288,10)	0.18	   637	7.26+-10.46	Bisoprolol	Insulin Glulisine	0.61	Moderate
(684,7)	0.24	    53	1.11+-0.32	Dihydroergotamine	Itraconazole	3.18	Major
(959,13)	0.09	     1	1+-NA	Clozapine	Josamycin	0	None
(1378,1)	0.11	    41	1.2+-0.56	Moxifloxacin	Ziprasidone	2	Major
(724,2)	0.23	   207	8.83+-11.78	Atenolol	Glipizide	0.74	Moderate
(199,223)	0.18	     5	1.4+-0.89	Methadone	Carbamazepine	0.62	Major
(276,5)	0.27	    89	8.22+-15.04	Spironolactone	Fosinopril	0.83	Major
(1773,8)	0.16	   237	7.37+-12.87	Valsartan	Lithium	0.83	Moderate
(913,1)	0.17	   288	8.29+-15.29	Diltiazem	Tacrolimus	0.66	Moderate
(357,13)	0.05	     3	1+-0	Verapamil	Telithromycin	1.86	Moderate
(1253,242)	0.02	     1	1+-NA	Dextropropoxyphene	Warfarin	0	None
(397,69)	0.56	     7	26.86+-35.9	Metoprolol	Prazosin	1.24	Moderate
(1053,1)	0.42	    29	1.31+-0.71	Dextropropoxyphene	Naltrexone	0.19	None
(250,17)	0.27	   130	1.23+-0.64	Haloperidol	Itraconazole	1.54	Moderate
(823,16)	0.19	    21	2.67+-3.62	Colestipol	Fluvastatin	0.84	Moderate
(479,5)	0.16	    88	4.08+-7.59	Citalopram	Frovatriptan	5.89	Major
(845,27)	0.08	    20	1.45+-0.94	Primidone	Dexamethasone	0.5	Moderate
(330,735)	0.26	     2	1+-0	Tacrolimus	Telithromycin	0.93	Major
(918,1621)	0.11	     8	1+-0	Digoxin	Tetracycline	0.13	Moderate
(701,1725)	0.22	253473	4.03+-9.09	Omeprazole	Diazepam	1.66	Moderate
(1404,416)	0.31	    66	1.15+-0.77	Fluconazole	Dihydroergotamine	3.45	Moderate
(339,22)	0.17	   512	3.6+-4.74	Trazodone	Ginkgo biloba	2.08	Moderate
(1169,129)	0.16	     9	1+-0	Midazolam	Josamycin	1.86	None
(1439,14)	0.22	 18918	12.32+-16.26	Omeprazole	Methotrexate	1.66	Major
(225,18)	0.12	     8	1+-0	Imipramine	Ketoconazole	1.55	Moderate
(960,21)	0.16	    25	4.24+-7.59	Primidone	Nifedipine	0.44	Major
(1081,21)	0.27	  2940	7.07+-12.21	Fluoxetine	Risperidone	1.03	Moderate
(1030,65)	0.1	 17170	2.46+-4.2	Diclofenac	Alendronic acid	10.07	Moderate
(704,59)	0.07	    12	1.42+-0.9	Halazepam	Ketoconazole	1.3	None
(358,227)	0.07	     4	2.5+-1	Cyclosporine	Rifamycin	0.31	None
(1251,6)	0.12	   128	1.34+-1.32	Doxycycline	Digoxin	1.16	Moderate
(912,17)	0.18	    83	4.11+-6.05	Tenoxicam	Alendronic acid	14.5	None
(220,27)	0.07	    70	1.3+-0.69	Doxycycline	Insulin Detemir	1.04	Moderate
(810,4)	0.11	  2062	3.17+-6.81	Hydrocortisone	Acenocoumarol	1.03	None
(864,4)	0.23	  2599	6.95+-11.45	Propranolol	Escitalopram	1.94	None
(411,4605)	0.28	    90	8.16+-8.45	Chlorpropamide	Acetylsalicylic acid	0.89	None
(448,10201)	0.17	    15	1.13+-0.35	Digoxin	Telithromycin	0.62	Moderate
(267,4401)	0.12	   174	2.3+-3.04	Prednisone	Primidone	0.57	Moderate
(768,12)	0.16	    11	2.55+-2.54	Carbamazepine	Ketoconazole	0.77	Moderate
(503,27)	0.14	  3444	1.48+-1.22	Amiodarone	Levofloxacin	0.66	Major
(1696,275)	0.11	   122	1.75+-2.82	Celecoxib	Warfarin	1.54	Moderate
(459,1)	0.22	    41	6.1+-8.86	Phenytoin	Theophylline	0.54	Moderate
(302,1788)	0.07	   625	1.58+-1.77	Azithromycin	Warfarin	0.82	Moderate
(1397,36441)	0.18	  2132	9.09+-10.33	Levothyroxine	Raloxifene	25.85	Moderate
(686,8)	0.18	     2	1+-0	Pimozide	Josamycin	0.93	None
(590,764)	0.14	     2	7+-8.49	Cimetidine	Flurazepam	Inf	Moderate
(271,37)	0.1	   744	1.28+-0.83	Erythromycin	Sertraline	3.45	Moderate
(449,713)	0.21	  2338	10.73+-13.88	Fenofibrate	Acenocoumarol	0.53	None
